Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Dwyane Wade;30.2;2008-09;27;MIA;79;79;1;3048;854;1739;766;1461;88;278;590;771;89;309;398;589;173;106;272;178;2386;0.491;0.524;0.317;0.765;0.574;0.516;G;wadedw01
2;LeBron James;28.4;2008-09;24;CLE;81;81;1;3054;789;1613;657;1229;132;384;594;762;106;507;613;587;137;93;241;139;2304;0.489;0.535;0.344;0.78;0.591;0.53;F-G;jamesle01
3;Kobe Bryant;26.8;2008-09;30;LAL;82;82;1;2960;800;1712;682;1376;118;336;483;564;90;339;429;399;120;37;210;189;2201;0.467;0.496;0.351;0.856;0.561;0.502;G-F;bryanko01
4;Dirk Nowitzki;25.9;2008-09;30;DAL;81;81;1;3050;774;1616;713;1446;61;170;485;545;88;593;681;197;61;63;157;176;2094;0.479;0.493;0.359;0.89;0.564;0.498;F-C;nowitdi01
5;Danny Granger;25.8;2008-09;25;IND;67;66;1;2424;571;1277;389;827;182;450;404;460;49;292;341;183;69;97;165;207;1728;0.447;0.47;0.404;0.878;0.584;0.518;F;grangda01
6;Kevin Durant;25.3;2008-09;20;OKC;74;74;0;2885;661;1390;564;1160;97;230;452;524;77;405;482;205;96;53;225;134;1871;0.476;0.486;0.422;0.863;0.577;0.51;F-G;duranke01
7;Kevin Martin;24.6;2008-09;25;SAC;51;46;0;1947;341;811;226;534;115;277;457;527;29;154;183;138;61;8;146;116;1254;0.42;0.423;0.415;0.867;0.601;0.491;G;martike02
8;Al Jefferson;23.1;2008-09;24;MIN;50;50;0;1836;485;975;485;971;0;4;186;252;172;376;548;79;39;83;92;141;1156;0.497;0.499;0;0.738;0.532;0.497;C-F;jeffeal01
9;Chris Paul;22.8;2008-09;23;NOH;78;78;1;3002;631;1255;567;1079;64;176;455;524;69;363;432;861;216;10;231;212;1781;0.503;0.525;0.364;0.868;0.599;0.528;G;paulch01
10;Carmelo Anthony;22.8;2008-09;24;DEN;66;66;0;2277;535;1207;472;1037;63;170;371;468;106;344;450;222;75;24;199;195;1504;0.443;0.455;0.371;0.793;0.532;0.469;F;anthoca01
11;Chris Bosh;22.7;2008-09;24;TOR;77;77;1;2928;615;1263;603;1214;12;49;504;617;215;556;771;191;67;77;174;189;1746;0.487;0.497;0.245;0.817;0.569;0.492;F-C;boshch01
12;Brandon Roy;22.6;2008-09;24;POR;78;78;1;2903;633;1318;550;1098;83;220;416;505;104;266;370;400;88;22;152;127;1765;0.48;0.501;0.377;0.824;0.573;0.512;G;roybr01
13;Antawn Jamison;22.2;2008-09;32;WAS;81;81;0;3096;674;1441;562;1122;112;319;341;452;196;525;721;153;95;25;125;218;1801;0.468;0.501;0.351;0.754;0.549;0.507;F;jamisan01
14;Tony Parker;22;2008-09;26;SAS;72;71;1;2456;639;1263;620;1198;19;65;284;363;27;196;223;496;67;4;186;110;1581;0.506;0.518;0.292;0.782;0.556;0.513;G;parketo01
15;Amar'e Stoudemire;21.4;2008-09;26;PHO;53;53;1;1948;404;749;401;742;3;7;323;387;116;314;430;104;49;57;150;163;1134;0.539;0.54;0.429;0.835;0.617;0.541;F-C;stoudam01
16;Joe Johnson;21.4;2008-09;27;ATL;79;79;1;3124;620;1420;471;1006;149;414;299;362;65;281;346;455;84;19;195;176;1688;0.437;0.468;0.36;0.826;0.534;0.489;G-F;johnsjo02
17;Devin Harris;21.3;2008-09;25;NJN;69;69;1;2494;455;1039;391;819;64;220;496;605;30;201;231;476;114;13;212;164;1470;0.438;0.477;0.291;0.82;0.563;0.469;G;harride01
18;Michael Redd;21.2;2008-09;29;MIL;33;32;0;1203;249;547;179;356;70;191;131;161;24;83;107;88;35;2;53;45;699;0.455;0.503;0.366;0.814;0.566;0.519;G;reddmi01
19;David West;21;2008-09;28;NOH;76;76;1;2982;610;1292;604;1267;6;25;367;415;160;486;646;173;49;68;163;207;1593;0.472;0.477;0.24;0.884;0.54;0.474;F-C;westda01
20;Zach Randolph;20.8;2008-09;27;LACNYK;50;45;0;1757;415;873;383;776;32;97;179;244;157;347;504;103;43;16;114;133;1041;0.475;0.494;0.33;0.734;0.531;0.494;F-C;randoza01
21;Caron Butler;20.8;2008-09;28;WAS;67;67;0;2585;491;1085;426;875;65;210;345;402;118;296;414;290;106;20;210;165;1392;0.453;0.487;0.31;0.858;0.552;0.482;F;butleca01
22;Vince Carter;20.8;2008-09;32;NJN;80;80;0;2946;588;1345;437;953;151;392;335;410;74;336;410;376;82;38;166;234;1662;0.437;0.459;0.385;0.817;0.545;0.493;G-F;cartevi01
23;Stephen Jackson;20.7;2008-09;30;GSW;59;59;0;2339;413;997;310;692;103;305;294;356;70;233;303;381;88;31;229;153;1223;0.414;0.448;0.338;0.826;0.53;0.466;F-G;jacksst02
24;Ben Gordon;20.7;2008-09;25;CHI;82;76;0;2999;598;1315;425;893;173;422;330;382;52;231;283;279;71;22;200;184;1699;0.455;0.476;0.41;0.864;0.573;0.521;G;gordobe01
25;Dwight Howard;20.6;2008-09;23;ORL;79;79;1;2821;560;979;560;977;0;2;504;849;336;757;1093;112;77;231;240;270;1624;0.572;0.573;0;0.594;0.6;0.572;C;howardw01
26;Paul Pierce;20.5;2008-09;31;BOS;81;81;1;3035;540;1181;421;877;119;304;459;553;56;401;457;294;80;27;228;215;1658;0.457;0.48;0.391;0.83;0.582;0.508;F-G;piercpa01
27;Al Harrington;20.1;2008-09;28;GSWNYK;73;56;0;2546;532;1212;361;742;171;470;234;295;99;356;455;102;88;22;161;227;1469;0.439;0.487;0.364;0.793;0.547;0.509;F;harrial01
28;Jamal Crawford;19.7;2008-09;28;GSWNYK;65;65;0;2479;419;1022;277;628;142;394;300;344;23;170;193;288;57;13;148;92;1280;0.41;0.441;0.36;0.872;0.545;0.479;G;crawfja01
29;Yao Ming;19.7;2008-09;28;HOU;77;77;1;2589;566;1032;565;1031;1;1;381;440;204;557;761;137;30;150;234;257;1514;0.548;0.548;1;0.866;0.618;0.549;C;mingya01
30;Richard Jefferson;19.6;2008-09;28;MIL;82;82;0;2939;537;1222;421;930;116;292;417;518;57;317;374;199;66;14;165;252;1607;0.439;0.453;0.397;0.805;0.554;0.487;F;jefferi01
31;Jason Terry;19.6;2008-09;31;DAL;74;11;0;2491;541;1168;374;712;167;456;198;225;39;138;177;251;97;20;119;141;1447;0.463;0.525;0.366;0.88;0.571;0.535;G;terryja01
32;Deron Williams;19.4;2008-09;24;UTA;68;68;0;2505;463;984;393;758;70;226;326;384;24;171;195;725;73;20;228;134;1322;0.471;0.518;0.31;0.849;0.573;0.506;G;willide01
33;Tim Duncan;19.3;2008-09;32;SAS;75;75;1;2524;558;1107;558;1105;0;2;334;483;201;599;800;264;38;126;165;173;1450;0.504;0.505;0;0.692;0.549;0.504;F-C;duncati01
34;Monta Ellis;19;2008-09;23;GSW;25;25;0;892;194;430;186;404;8;26;78;94;14;94;108;93;39;8;67;67;474;0.451;0.46;0.308;0.83;0.503;0.46;G;ellismo01
35;Rudy Gay;18.9;2008-09;22;MEM;79;78;0;2945;572;1262;487;1020;85;242;264;344;109;328;437;135;98;59;203;221;1493;0.453;0.477;0.351;0.767;0.528;0.487;F;gayru01
36;Pau Gasol;18.9;2008-09;28;LAL;81;81;1;2999;592;1045;591;1043;1;2;343;439;262;518;780;284;52;81;157;172;1528;0.567;0.567;0.5;0.781;0.617;0.567;C-F;gasolpa01
37;Andre Iguodala;18.8;2008-09;25;PHI;82;82;0;3269;542;1147;462;886;80;261;377;521;92;379;471;434;131;36;222;152;1541;0.473;0.521;0.307;0.724;0.56;0.507;F-G;iguodan01
38;Corey Maggette;18.6;2008-09;29;GSW;51;19;0;1588;292;634;268;539;24;95;342;415;49;233;282;92;44;8;120;192;950;0.461;0.497;0.253;0.824;0.582;0.479;F;maggeco01
39;O.J. Mayo;18.5;2008-09;21;MEM;82;82;0;3120;562;1283;417;905;145;378;247;281;56;252;308;262;91;13;226;204;1516;0.438;0.461;0.384;0.879;0.539;0.495;G;mayooj01
40;John Salmons;18.3;2008-09;29;CHISAC;79;74;0;2959;516;1093;390;791;126;302;288;347;59;274;333;249;83;24;165;182;1446;0.472;0.493;0.417;0.83;0.58;0.53;G;salmojo01
41;Richard Hamilton;18.3;2008-09;30;DET;67;51;0;2279;466;1043;396;853;70;190;223;263;44;163;207;297;40;4;133;176;1225;0.447;0.464;0.368;0.848;0.529;0.48;G-F;hamilri01
42;Ray Allen;18.2;2008-09;33;BOS;79;79;1;2876;499;1040;300;554;199;486;237;249;66;212;278;218;69;13;134;157;1434;0.48;0.542;0.409;0.952;0.624;0.575;G;allenra02
43;LaMarcus Aldridge;18.1;2008-09;23;POR;81;81;0;3004;601;1243;594;1215;7;28;261;334;234;371;605;157;77;77;121;207;1470;0.484;0.489;0.25;0.781;0.529;0.486;F-C;aldrila01
44;Josh Howard;18;2008-09;28;DAL;52;51;0;1663;353;783;295;615;58;168;172;220;59;204;263;83;55;30;89;135;936;0.451;0.48;0.345;0.782;0.532;0.488;F-G;howarjo01
45;Mo Williams;17.8;2008-09;26;CLE;81;81;1;2834;526;1126;343;706;183;420;208;228;47;232;279;329;69;9;179;215;1443;0.467;0.486;0.436;0.912;0.588;0.548;G;willima01
46;Shaquille O'Neal;17.8;2008-09;36;PHO;75;75;1;2252;512;841;512;840;0;1;309;519;187;446;633;126;49;108;168;253;1333;0.609;0.61;0;0.595;0.623;0.609;C;onealsh01
47;Rashard Lewis;17.7;2008-09;29;ORL;79;79;1;2859;478;1089;258;535;220;554;225;269;92;361;453;205;81;51;158;194;1401;0.439;0.482;0.397;0.836;0.58;0.54;F;lewisra02
