Player,Team,Season,PPG,RPG,APG
James Harden,HOU,19_20,34.3,6.6,7.5
Bradley Beal,WAS,19_20,30.5,4.2,6.1
Damian Lillard,POR,19_20,30.0,4.3,8.0
Trae Young,ATL,19_20,29.6,4.2,9.3
Giannis Antetokounmpo,MIL,19_20,29.5,13.6,5.6
Luka Dončić,DAL,19_20,28.8,9.4,8.8
Kyrie Irving,BRK,19_20,27.4,5.2,6.4
Russell Westbrook,HOU,19_20,27.2,7.9,7.0
Kawhi Leonard,LAC,19_20,27.1,7.1,4.9
Devin Booker,PHO,19_20,26.6,4.2,6.5
Karl-Anthony Towns,MIN,19_20,26.5,10.8,4.4
Anthony Davis,LAL,19_20,26.1,9.3,3.2
Zach LaVine,CHI,19_20,25.5,4.8,4.2
LeBron James,LAL,19_20,25.3,7.8,10.2
Donovan Mitchell,UTA,19_20,24.0,4.4,4.3
Brandon Ingram,NOP,19_20,23.8,6.1,4.2
Jayson Tatum,BOS,19_20,23.4,7.0,3.0
D'Angelo Russell,GSWMIN,19_20,23.1,3.9,6.3
Joel Embiid,PHI,19_20,23.0,11.6,3.0
Pascal Siakam,TOR,19_20,22.9,7.3,3.4
Zion Williamson,NOP,19_20,22.5,6.2,2.1
CJ McCollum,POR,19_20,22.2,4.2,4.4
DeMar DeRozan,SAS,19_20,22.1,5.5,5.6
Andrew Wiggins,GSWMIN,19_20,21.8,5.1,3.7
John Collins,ATL,19_20,21.6,10.1,1.5
Paul George,LAC,19_20,21.5,5.7,3.9
De'Aaron Fox,SAC,19_20,21.1,3.8,6.8
Khris Middleton,MIL,19_20,20.9,6.2,4.3
Stephen Curry,GSW,19_20,20.8,5.2,6.6
Collin Sexton,CLE,19_20,20.8,3.1,3.0
Spencer Dinwiddie,BRK,19_20,20.6,3.5,6.8
Kemba Walker,BOS,19_20,20.4,3.9,4.8
Kristaps Porziņģis,DAL,19_20,20.4,9.5,1.8
Jaylen Brown,BOS,19_20,20.3,6.4,2.1
Bojan Bogdanović,UTA,19_20,20.2,4.1,2.1
Jimmy Butler,MIA,19_20,19.9,6.7,6.0
Nikola Jokić,DEN,19_20,19.9,9.7,7.0
T.J. Warren,IND,19_20,19.8,4.2,1.5
Tobias Harris,PHI,19_20,19.6,6.9,3.2
Nikola Vučević,ORL,19_20,19.6,10.9,3.6
Julius Randle,NYK,19_20,19.5,9.7,3.1
Kyle Lowry,TOR,19_20,19.4,5.0,7.5
Buddy Hield,SAC,19_20,19.2,4.6,3.0
Jrue Holiday,NOP,19_20,19.1,4.8,6.7
Shai Gilgeous-Alexander,OKC,19_20,19.0,5.9,3.3
Dennis Schröder,OKC,19_20,18.9,3.6,4.0
LaMarcus Aldridge,SAS,19_20,18.9,7.4,2.4
Caris LeVert,BRK,19_20,18.7,4.2,4.4
Danilo Gallinari,OKC,19_20,18.7,5.2,1.9
Kelly Oubre Jr.,PHO,19_20,18.7,6.4,1.5
Montrezl Harrell,LAC,19_20,18.6,7.1,1.7
Evan Fournier,ORL,19_20,18.5,2.6,3.2
Domantas Sabonis,IND,19_20,18.5,12.4,5.0
Jamal Murray,DEN,19_20,18.5,4.0,4.8
Lou Williams,LAC,19_20,18.2,3.1,5.6
Devonte' Graham,CHO,19_20,18.2,3.4,7.5
Deandre Ayton,PHO,19_20,18.2,11.5,1.9
Derrick Rose,DET,19_20,18.1,2.4,5.6
Terry Rozier,CHO,19_20,18.0,4.4,4.1
Ja Morant,MEM,19_20,17.8,3.9,7.3
Andre Drummond,CLEDET,19_20,17.7,15.2,2.7
Fred VanVleet,TOR,19_20,17.6,3.8,6.6
Kevin Love,CLE,19_20,17.6,9.8,3.2
Jusuf Nurkić,POR,19_20,17.6,10.2,4.0
Chris Paul,OKC,19_20,17.6,5.0,6.7
Gordon Hayward,BOS,19_20,17.5,6.7,4.1
Jaren Jackson Jr.,MEM,19_20,17.4,4.6,1.4
Marcus Morris,LACNYK,19_20,16.7,5.0,1.4
Malcolm Brogdon,IND,19_20,16.5,4.9,7.1
Ben Simmons,PHI,19_20,16.4,7.8,8.0
Dillon Brooks,MEM,19_20,16.2,3.3,2.1
Goran Dragić,MIA,19_20,16.2,3.2,5.1
Norman Powell,TOR,19_20,16.0,3.7,1.8
Bam Adebayo,MIA,19_20,15.9,10.2,5.1
Tim Hardaway Jr.,DAL,19_20,15.8,3.3,1.9
Luke Kennard,DET,19_20,15.8,3.5,4.1
Hassan Whiteside,POR,19_20,15.5,13.5,1.2
Blake Griffin,DET,19_20,15.5,4.7,3.3
Dāvis Bertāns,WAS,19_20,15.4,4.5,1.7
Carmelo Anthony,POR,19_20,15.4,6.3,1.5
Serge Ibaka,TOR,19_20,15.4,8.2,1.4
Kendrick Nunn,MIA,19_20,15.3,2.7,3.3
JJ Redick,NOP,19_20,15.3,2.5,2.0
Jordan Clarkson,CLEUTA,19_20,15.2,2.6,1.9
Bogdan Bogdanović,SAC,19_20,15.1,3.4,3.4
Rudy Gobert,UTA,19_20,15.1,13.5,1.5
Will Barton,DEN,19_20,15.1,6.3,3.7
