Player,Team,Season,PPG,RPG,APG
Joel Embiid,PHI,23_24,34.7,11.0,5.6
Luka Dončić,DAL,23_24,33.9,9.2,9.8
Giannis Antetokounmpo,MIL,23_24,30.4,11.5,6.5
Shai Gilgeous-Alexander,OKC,23_24,30.1,5.5,6.2
Jalen Brunson,NYK,23_24,28.7,3.6,6.7
Kevin Durant,PHO,23_24,27.1,6.6,5.0
Devin Booker,PHO,23_24,27.1,4.5,6.9
Jayson Tatum,BOS,23_24,26.9,8.1,4.9
Donovan Mitchell,CLE,23_24,26.6,5.1,6.1
De'Aaron Fox,SAC,23_24,26.6,4.6,5.6
Stephen Curry,GSW,23_24,26.4,4.5,5.1
Nikola Jokić,DEN,23_24,26.4,12.4,9.0
Tyrese Maxey,PHI,23_24,25.9,3.7,6.2
Anthony Edwards,MIN,23_24,25.9,5.4,5.1
Trae Young,ATL,23_24,25.7,2.8,10.8
LeBron James,LAL,23_24,25.7,7.3,8.3
Kyrie Irving,DAL,23_24,25.6,5.0,5.2
Ja Morant,MEM,23_24,25.1,5.6,8.1
Anthony Davis,LAL,23_24,24.7,12.6,3.5
Damian Lillard,MIL,23_24,24.3,4.4,7.0
DeMar DeRozan,CHI,23_24,24.0,4.3,5.3
Julius Randle,NYK,23_24,24.0,9.2,5.0
LaMelo Ball,CHO,23_24,23.9,5.1,8.0
Desmond Bane,MEM,23_24,23.7,4.4,5.5
Kawhi Leonard,LAC,23_24,23.7,6.1,3.6
Lauri Markkanen,UTA,23_24,23.2,8.2,2.0
Jaylen Brown,BOS,23_24,23.0,5.5,3.6
Zion Williamson,NOP,23_24,22.9,5.8,5.0
Cade Cunningham,DET,23_24,22.7,4.3,7.5
Anfernee Simons,POR,23_24,22.6,3.6,5.5
Paul George,LAC,23_24,22.6,5.2,3.5
Paolo Banchero,ORL,23_24,22.6,6.9,5.4
Jaren Jackson Jr.,MEM,23_24,22.5,5.5,2.3
Dejounte Murray,ATL,23_24,22.5,5.3,6.4
Cam Thomas,BRK,23_24,22.5,3.2,2.9
Kyle Kuzma,WAS,23_24,22.2,6.6,4.2
Karl-Anthony Towns,MIN,23_24,21.8,8.3,3.0
Pascal Siakam,INDTOR,23_24,21.7,7.1,4.3
Victor Wembanyama,SAS,23_24,21.4,10.6,3.9
Jamal Murray,DEN,23_24,21.2,4.1,6.5
Alperen Şengün,HOU,23_24,21.1,9.3,5.0
Miles Bridges,CHO,23_24,21.0,7.3,3.3
Jerami Grant,POR,23_24,21.0,3.5,2.8
Tyler Herro,MIA,23_24,20.8,5.3,4.5
Brandon Ingram,NOP,23_24,20.8,5.1,5.7
Jimmy Butler,MIA,23_24,20.8,5.3,5.0
RJ Barrett,NYKTOR,23_24,20.2,5.4,3.3
Tyrese Haliburton,IND,23_24,20.1,3.9,10.9
Kristaps Porziņģis,BOS,23_24,20.1,7.2,2.0
CJ McCollum,NOP,23_24,20.0,4.3,4.6
Scottie Barnes,TOR,23_24,19.9,8.2,6.0
Terry Rozier,CHOMIA,23_24,19.8,4.0,5.6
Franz Wagner,ORL,23_24,19.7,5.3,3.7
Jalen Green,HOU,23_24,19.6,5.2,3.5
Mikal Bridges,BRK,23_24,19.6,4.5,3.6
Zach LaVine,CHI,23_24,19.5,5.2,3.9
Devin Vassell,SAS,23_24,19.5,3.8,4.1
Domantas Sabonis,SAC,23_24,19.4,13.7,8.2
Bam Adebayo,MIA,23_24,19.3,10.4,3.9
Coby White,CHI,23_24,19.1,4.5,5.1
Jalen Williams,OKC,23_24,19.1,4.0,4.5
Collin Sexton,UTA,23_24,18.7,2.6,4.9
Bradley Beal,PHO,23_24,18.2,4.4,5.0
Darius Garland,CLE,23_24,18.0,2.7,6.5
Nikola Vučević,CHI,23_24,18.0,10.5,3.3
D'Angelo Russell,LAL,23_24,18.0,3.1,6.3
Klay Thompson,GSW,23_24,17.9,3.3,2.3
Fred VanVleet,HOU,23_24,17.4,3.8,8.1
Jordan Poole,WAS,23_24,17.4,2.7,4.4
Brandon Miller,CHO,23_24,17.3,4.3,2.4
Tobias Harris,PHI,23_24,17.2,6.5,3.1
Jordan Clarkson,UTA,23_24,17.1,3.4,5.0
Myles Turner,IND,23_24,17.1,6.9,1.3
Immanuel Quickley,NYKTOR,23_24,17.0,3.8,4.9
Bogdan Bogdanović,ATL,23_24,16.9,3.4,3.1
Michael Porter Jr.,DEN,23_24,16.7,7.0,1.5
Deandre Ayton,POR,23_24,16.7,11.1,1.6
James Harden,LAC,23_24,16.6,5.1,8.5
Chet Holmgren,OKC,23_24,16.5,7.9,2.4
Jarrett Allen,CLE,23_24,16.5,10.5,2.7
Jonathan Kuminga,GSW,23_24,16.1,4.8,2.2
Jalen Johnson,ATL,23_24,16.0,8.7,3.6
Shaedon Sharpe,POR,23_24,15.9,5.0,2.9
Austin Reaves,LAL,23_24,15.9,4.3,5.5
Malcolm Brogdon,POR,23_24,15.7,3.8,5.5
Keldon Johnson,SAS,23_24,15.7,5.5,2.8
Evan Mobley,CLE,23_24,15.7,9.4,3.2
De'Andre Hunter,ATL,23_24,15.6,3.9,1.5
Donte DiVincenzo,NYK,23_24,15.5,3.7,2.7
Kelly Oubre Jr.,PHI,23_24,15.4,5.0,1.5
Malik Monk,SAC,23_24,15.4,2.9,5.1
Jaden Ivey,DET,23_24,15.4,3.4,3.8
Bojan Bogdanović,DETNYK,23_24,15.2,2.7,1.7
Keegan Murray,SAC,23_24,15.2,5.5,1.7
Derrick White,BOS,23_24,15.2,4.2,5.2
John Collins,UTA,23_24,15.1,8.5,1.1
Khris Middleton,MIL,23_24,15.1,4.7,5.3
Trey Murphy III,NOP,23_24,14.8,4.9,2.2
Deni Avdija,WAS,23_24,14.7,7.2,3.8
OG Anunoby,NYKTOR,23_24,14.7,4.2,2.1
GG Jackson II,MEM,23_24,14.6,4.1,1.2
Bennedict Mathurin,IND,23_24,14.5,4.0,2.0
Marcus Smart,MEM,23_24,14.5,2.6,4.3
Tim Hardaway Jr.,DAL,23_24,14.4,3.2,1.8
Dennis Schröder,BRKTOR,23_24,14.0,3.0,6.1
Scoot Henderson,POR,23_24,14.0,3.1,5.4
Caris LeVert,CLE,23_24,14.0,4.1,5.1
Rudy Gobert,MIN,23_24,14.0,12.9,1.3
Norman Powell,LAC,23_24,13.9,2.6,1.1
Aaron Gordon,DEN,23_24,13.9,6.5,3.5
Jalen Duren,DET,23_24,13.8,11.6,2.4
Bobby Portis,MIL,23_24,13.8,7.4,1.3
Jabari Smith Jr.,HOU,23_24,13.7,8.1,1.6
Gary Trent Jr.,TOR,23_24,13.7,2.6,1.7
Saddiq Bey,ATL,23_24,13.7,6.5,1.5
Rui Hachimura,LAL,23_24,13.6,4.3,1.2
Grayson Allen,PHO,23_24,13.5,3.9,3.0
Naz Reid,MIN,23_24,13.5,5.2,1.3
Cameron Johnson,BRK,23_24,13.4,4.3,2.4
Corey Kispert,WAS,23_24,13.4,2.8,2.0
Andrew Wiggins,GSW,23_24,13.2,4.5,1.7
Keyonte George,UTA,23_24,13.0,2.8,4.4
Scotty Pippen Jr.,MEM,23_24,12.9,3.2,4.7
Duncan Robinson,MIA,23_24,12.9,2.5,2.8
P.J. Washington,CHODAL,23_24,12.9,5.6,1.9
Mark Williams,CHO,23_24,12.7,9.7,1.2
Dillon Brooks,HOU,23_24,12.7,3.4,1.7
Jalen Suggs,ORL,23_24,12.6,3.1,2.7
Brook Lopez,MIL,23_24,12.5,5.2,1.6
Jrue Holiday,BOS,23_24,12.5,5.4,4.8
Josh Giddey,OKC,23_24,12.3,6.4,4.8
Cam Whitmore,HOU,23_24,12.3,3.8,0.7
Javonte Green,CHI,23_24,12.2,7.4,0.6
Jonas Valančiūnas,NOP,23_24,12.2,8.8,2.1
Harrison Barnes,SAC,23_24,12.2,3.0,1.2
Max Strus,CLE,23_24,12.2,4.8,4.0
Aaron Nesmith,IND,23_24,12.2,3.8,1.5
Ayo Dosunmu,CHI,23_24,12.2,2.8,3.2
Buddy Hield,INDPHI,23_24,12.1,3.2,2.8
Tyus Jones,WAS,23_24,12.0,2.7,7.3
Jaime Jaquez Jr.,MIA,23_24,11.9,3.8,2.6
Nic Claxton,BRK,23_24,11.8,9.9,2.1
Ivica Zubac,LAC,23_24,11.7,9.2,1.4
Marvin Bagley III,DETWAS,23_24,11.7,6.2,1.1
Jeremy Sochan,SAS,23_24,11.6,6.4,3.4
Cole Anthony,ORL,23_24,11.6,3.8,2.9
Clint Capela,ATL,23_24,11.5,10.6,1.2
Mike Conley,MIN,23_24,11.4,2.9,5.9
Brandon Clarke,MEM,23_24,11.3,5.3,1.5
Malik Beasley,MIL,23_24,11.3,3.7,1.4
Zach Collins,SAS,23_24,11.2,5.4,2.8
Jakob Poeltl,TOR,23_24,11.1,8.6,2.5
Russell Westbrook,LAC,23_24,11.1,5.0,4.5
De'Anthony Melton,PHI,23_24,11.1,3.7,3.0
Eric Gordon,PHO,23_24,11.0,1.8,2.0
Herbert Jones,NOP,23_24,11.0,3.6,2.6
Daniel Gafford,DALWAS,23_24,11.0,7.6,1.6
Luke Kennard,MEM,23_24,11.0,2.9,3.5
Wendell Carter Jr.,ORL,23_24,11.0,6.9,1.7
Isaiah Stewart,DET,23_24,10.9,6.6,1.6
Jusuf Nurkić,PHO,23_24,10.9,11.0,4.0
Luguentz Dort,OKC,23_24,10.9,3.6,1.4
Moritz Wagner,ORL,23_24,10.9,4.3,1.2
Bruce Brown,INDTOR,23_24,10.8,4.2,2.9
Jake LaRavia,MEM,23_24,10.8,3.7,1.7
Santi Aldama,MEM,23_24,10.7,5.8,2.3
Jaden McDaniels,MIN,23_24,10.5,3.1,1.4
Simone Fontecchio,DETUTA,23_24,10.5,3.7,1.5
Spencer Dinwiddie,BRKLAL,23_24,10.5,2.7,4.7
Alec Burks,DETNYK,23_24,10.4,2.3,1.3
Grant Williams,CHODAL,23_24,10.3,4.2,2.3
Dalano Banton,BOSPOR,23_24,10.3,3.3,2.4
Obi Toppin,IND,23_24,10.3,3.9,1.6
T.J. McConnell,IND,23_24,10.2,2.7,5.5
Kevin Huerter,SAC,23_24,10.2,3.5,2.6
Onyeka Okongwu,ATL,23_24,10.2,6.8,1.3
Reggie Jackson,DEN,23_24,10.2,1.9,3.8
Talen Horton-Tucker,UTA,23_24,10.1,2.4,3.5
Kentavious Caldwell-Pope,DEN,23_24,10.1,2.4,2.4
Alex Caruso,CHI,23_24,10.1,3.8,3.5
Vince Williams Jr.,MEM,23_24,10.0,5.6,3.4
Tre Jones,SAS,23_24,10.0,3.8,6.2
Caleb Martin,MIA,23_24,10.0,4.4,2.2
Patrick Williams,CHI,23_24,10.0,3.9,1.5
Josh Richardson,MIA,23_24,9.9,2.8,2.4
Jalen Smith,IND,23_24,9.9,5.5,1.0
Gordon Hayward,CHOOKC,23_24,9.8,3.5,3.1
Tari Eason,HOU,23_24,9.8,7.0,1.2
Kelly Olynyk,TORUTA,23_24,9.8,5.3,4.4
Lonnie Walker IV,BRK,23_24,9.7,2.2,1.3
Nick Richards,CHO,23_24,9.7,8.0,0.8
Payton Pritchard,BOS,23_24,9.6,3.2,3.4
Amen Thompson,HOU,23_24,9.5,6.6,2.6
Josh Hart,NYK,23_24,9.4,8.3,4.1
Isaac Okoro,CLE,23_24,9.4,3.0,1.9
Georges Niang,CLE,23_24,9.4,3.4,1.2
Tre Mann,CHOOKC,23_24,9.3,3.6,4.0
Brandin Podziemski,GSW,23_24,9.2,5.8,3.7
Andrew Nembhard,IND,23_24,9.2,2.1,4.1
Malaki Branham,SAS,23_24,9.2,2.0,2.1
