Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Joel Embiid,PHI,22_23,33.1,10.2,4.2,0.659,1
Luka Dončić,DAL,22_23,32.4,8.6,8.0,0.463,1
Damian Lillard,POR,22_23,32.2,4.8,7.3,0.402,0
Shai Gilgeous-Alexander,OKC,22_23,31.4,4.8,5.5,0.488,1
Giannis Antetokounmpo,MIL,22_23,31.1,11.8,5.7,0.707,1
Jayson Tatum,BOS,22_23,30.1,8.8,4.6,0.695,1
Stephen Curry,GSW,22_23,29.4,6.1,6.3,0.537,1
Kevin Durant,BRKPHO,22_23,29.1,6.7,5.0,,0
LeBron James,LAL,22_23,28.9,8.3,6.8,0.524,0
Donovan Mitchell,CLE,22_23,28.3,4.2,4.4,0.622,1
Devin Booker,PHO,22_23,27.8,4.5,5.5,0.549,0
Kyrie Irving,BRKDAL,22_23,27.1,5.1,5.5,,0
Jaylen Brown,BOS,22_23,26.6,6.9,3.5,0.695,0
Trae Young,ATL,22_23,26.2,3.0,10.2,0.5,0
Ja Morant,MEM,22_23,26.2,5.9,8.1,0.622,0
Zion Williamson,NOP,22_23,26.0,7.0,4.6,0.512,0
Anthony Davis,LAL,22_23,25.9,12.5,2.6,0.524,0
Lauri Markkanen,UTA,22_23,25.6,8.6,1.9,0.451,0
Julius Randle,NYK,22_23,25.1,10.0,4.1,0.573,0
De'Aaron Fox,SAC,22_23,25.0,4.2,6.1,0.585,1
Zach LaVine,CHI,22_23,24.8,4.5,4.2,0.488,0
Brandon Ingram,NOP,22_23,24.7,5.5,5.8,0.512,0
Anthony Edwards,MIN,22_23,24.6,5.8,4.4,0.512,0
DeMar DeRozan,CHI,22_23,24.5,4.6,5.1,0.488,0
Nikola Jokić,DEN,22_23,24.5,11.8,9.8,0.646,1
Pascal Siakam,TOR,22_23,24.2,7.8,5.8,0.5,0
Jalen Brunson,NYK,22_23,24.0,3.5,6.2,0.573,0
Kawhi Leonard,LAC,22_23,23.8,6.5,3.9,0.537,0
Paul George,LAC,22_23,23.8,6.1,5.1,0.537,0
LaMelo Ball,CHO,22_23,23.3,6.4,8.4,0.329,0
Bradley Beal,WAS,22_23,23.2,3.9,5.4,0.427,0
Kristaps Porziņģis,WAS,22_23,23.2,8.4,2.7,0.427,0
Jimmy Butler,MIA,22_23,22.9,5.9,5.3,0.537,1
Jalen Green,HOU,22_23,22.1,3.7,3.7,0.268,0
Keldon Johnson,SAS,22_23,22.0,5.0,2.9,0.268,0
Klay Thompson,GSW,22_23,21.9,4.1,2.4,0.537,0
Darius Garland,CLE,22_23,21.6,2.7,7.8,0.622,0
Bojan Bogdanović,DET,22_23,21.6,3.8,2.6,0.207,0
Desmond Bane,MEM,22_23,21.5,5.0,4.4,0.622,0
Kyle Kuzma,WAS,22_23,21.2,7.2,3.7,0.427,0
Terry Rozier,CHO,22_23,21.1,4.1,5.1,0.329,0
Anfernee Simons,POR,22_23,21.1,2.6,4.1,0.402,0
James Harden,PHI,22_23,21.0,6.1,10.7,0.659,0
CJ McCollum,NOP,22_23,20.9,4.4,5.7,0.512,0
Jordan Clarkson,UTA,22_23,20.8,4.0,4.4,0.451,0
Karl-Anthony Towns,MIN,22_23,20.8,8.1,4.8,0.512,0
Tyrese Haliburton,IND,22_23,20.7,3.7,10.4,0.427,0
Jerami Grant,POR,22_23,20.5,4.5,2.4,0.402,0
Dejounte Murray,ATL,22_23,20.5,5.3,6.1,0.5,0
Jordan Poole,GSW,22_23,20.4,2.7,4.5,0.537,0
Bam Adebayo,MIA,22_23,20.4,9.2,3.2,0.537,0
Tyrese Maxey,PHI,22_23,20.3,2.9,3.5,0.659,0
Kelly Oubre Jr.,CHO,22_23,20.3,5.2,1.1,0.329,0
Mikal Bridges,BRKPHO,22_23,20.1,4.4,3.3,,0
Tyler Herro,MIA,22_23,20.1,5.4,4.2,0.537,0
Louis King,PHI,22_23,20.0,4.0,2.0,0.659,0
Jamal Murray,DEN,22_23,20.0,4.0,6.2,0.646,0
Paolo Banchero,ORL,22_23,20.0,6.9,3.7,0.415,0
Cade Cunningham,DET,22_23,19.9,6.2,6.0,0.207,0
RJ Barrett,NYK,22_23,19.6,5.0,2.8,0.573,0
Fred VanVleet,TOR,22_23,19.3,4.1,7.2,0.5,0
Jrue Holiday,MIL,22_23,19.3,5.1,7.4,0.707,0
Kevin Porter Jr.,HOU,22_23,19.2,5.3,5.7,0.268,0
Domantas Sabonis,SAC,22_23,19.1,12.3,7.3,0.585,1
Jaren Jackson Jr.,MEM,22_23,18.6,6.8,1.0,0.622,0
Franz Wagner,ORL,22_23,18.6,4.1,3.5,0.415,0
Devin Vassell,SAS,22_23,18.5,3.9,3.6,0.268,0
