Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP
Giannis Antetokounmpo,MIL,18/19,27.7,12.5,5.9,0.732,14.4,1,121,99,30.9,10.4,32.3,7.4
LaMarcus Aldridge,SAS,18/19,21.3,9.2,2.4,0.585,9.3,0,117,110,22.9,1.8,26.9,2.6
Pascal Siakam,TOR,18/19,16.9,6.9,3.1,0.707,9.3,0,120,107,18.7,2.4,20.8,2.8
Steven Adams,OKC,18/19,13.8,9.5,1.6,0.598,9.1,0,120,106,18.5,1.1,16.4,2.1
Montrezl Harrell,LAC,18/19,16.6,6.5,2.0,0.585,8.7,0,122,109,23.4,3.3,23.5,2.9
Eric Bledsoe,MIL,18/19,15.9,4.6,5.5,0.732,8.2,0,116,105,19.3,3.1,22.9,2.9
Danilo Gallinari,LAC,18/19,19.8,6.1,2.6,0.585,8.2,0,125,112,21.0,4.3,23.8,3.3
Mike Conley,MEM,18/19,21.1,3.4,6.4,0.402,8.0,0,117,111,21.4,4.7,27.3,3.9
Derrick Favors,UTA,18/19,11.8,7.4,1.2,0.61,7.9,0,124,103,21.8,3.3,19.4,2.4
Jusuf Nurkić,POR,18/19,15.6,10.4,3.2,0.646,7.8,0,116,105,23.4,3.7,24.7,2.8
Jarrett Allen,BRK,18/19,10.9,8.4,1.4,0.512,7.6,0,123,106,18.5,1.6,15.9,1.9
Bradley Beal,WAS,18/19,25.6,5.0,5.5,0.39,7.6,0,113,114,20.8,2.9,28.4,3.7
Domantas Sabonis,IND,18/19,14.1,9.3,2.9,0.585,7.6,0,118,104,21.9,3.1,23.5,2.4
Al Horford,BOS,18/19,13.6,6.7,4.2,0.598,7.5,0,122,107,20.2,5.1,18.9,3.6
Kemba Walker,CHO,18/19,25.6,4.4,5.9,0.476,7.4,0,112,114,21.7,4.2,31.5,4.4
Jerami Grant,OKC,18/19,13.6,5.2,1.0,0.598,7.3,0,119,108,13.8,0.2,15.4,1.5
D.J. Augustin,ORL,18/19,11.7,2.5,5.3,0.512,6.9,0,122,112,15.7,0.5,17.2,1.4
Thaddeus Young,IND,18/19,12.6,6.5,2.5,0.585,6.9,0,113,106,16.2,1.5,18.0,2.2
Darren Collison,IND,18/19,11.2,3.1,6.0,0.585,6.8,0,118,108,16.7,1.8,17.7,2.1
Bam Adebayo,MIA,18/19,8.9,7.3,2.2,0.476,6.8,0,120,104,17.9,1.8,15.8,1.8
Bojan Bogdanović,IND,18/19,18.0,4.1,2.0,0.585,6.8,0,114,110,16.1,0.7,22.4,1.7
Willie Cauley-Stein,SAC,18/19,11.9,8.4,2.4,0.476,6.7,0,118,108,18.0,1.2,17.5,1.8
Brook Lopez,MIL,18/19,12.5,4.9,1.2,0.732,6.7,0,113,103,14.6,2.2,16.7,2.4
Malcolm Brogdon,MIL,18/19,15.6,4.5,3.2,0.732,6.5,0,121,108,17.8,2.2,20.7,1.9
Myles Turner,IND,18/19,13.3,7.2,1.6,0.585,6.3,0,110,101,18.0,2.5,20.0,2.4
Hassan Whiteside,MIA,18/19,12.3,11.3,0.8,0.476,6.3,0,112,99,23.5,2.3,22.6,1.8
DeMar DeRozan,SAS,18/19,21.2,6.0,6.2,0.585,6.3,0,110,111,19.6,1.1,27.9,2.2
Monte Morris,DEN,18/19,10.4,2.4,3.6,0.659,6.2,0,124,111,16.2,1.5,17.1,1.7
Khris Middleton,MIL,18/19,18.3,6.0,4.3,0.732,6.1,0,109,106,16.5,0.8,25.1,1.7
Paul Millsap,DEN,18/19,12.6,7.2,2.0,0.659,6.1,0,116,106,17.9,1.7,19.6,1.8
Serge Ibaka,TOR,18/19,15.0,8.1,1.3,0.707,6.1,0,113,105,18.7,0.2,22.9,1.2
Julius Randle,NOP,18/19,21.4,8.7,3.1,0.402,6.1,0,113,112,20.9,1.5,27.8,2.0
Joe Ingles,UTA,18/19,12.1,4.0,5.7,0.61,6.0,0,110,107,13.4,1.4,17.5,2.2
John Collins,ATL,18/19,19.5,9.8,2.0,0.354,6.0,0,122,115,21.8,0.9,23.7,1.3
JaVale McGee,LAL,18/19,12.0,7.5,0.7,0.451,5.9,0,117,104,21.8,1.4,20.2,1.4
Danny Green,TOR,18/19,10.3,4.0,1.6,0.707,5.9,0,119,108,13.0,2.0,14.1,2.2
Buddy Hield,SAC,18/19,20.7,5.0,2.5,0.476,5.9,0,113,114,17.5,2.1,25.1,2.7
JJ Redick,PHI,18/19,18.1,2.4,2.7,0.622,5.9,0,118,115,15.1,0.2,21.9,1.3
Deandre Ayton,PHO,18/19,16.3,10.3,1.8,0.232,5.8,0,117,113,20.5,0.2,21.2,1.2
Mason Plumlee,DEN,18/19,7.8,6.4,3.0,0.659,5.8,0,117,105,17.8,2.1,16.2,1.8
Al-Farouq Aminu,POR,18/19,9.4,7.5,1.3,0.646,5.8,0,118,109,13.2,0.7,13.7,1.5
Ed Davis,BRK,18/19,5.8,8.6,0.8,0.512,5.7,0,129,105,17.3,0.0,12.7,0.7
De'Aaron Fox,SAC,18/19,17.3,3.8,7.3,0.476,5.6,0,110,111,18.1,1.5,24.5,2.3
CJ McCollum,POR,18/19,21.0,4.0,3.0,0.646,5.6,0,113,113,17.0,1.0,25.5,1.8
Josh Richardson,MIA,18/19,16.6,3.6,4.1,0.476,5.6,0,111,110,14.0,0.3,20.9,1.5
Thomas Bryant,WAS,18/19,10.5,6.3,1.3,0.39,5.6,0,130,112,21.0,2.0,17.6,1.5
Joe Harris,BRK,18/19,13.7,3.8,2.4,0.512,5.5,0,119,113,13.5,0.5,17.0,1.4
Marcus Smart,BOS,18/19,8.8,2.9,4.0,0.598,5.3,0,113,107,13.1,0.8,14.6,1.5
Jeremy Lamb,CHO,18/19,15.3,5.5,2.2,0.476,5.3,0,113,111,17.3,1.2,22.5,1.8
Klay Thompson,GSW,18/19,21.5,3.8,2.4,0.695,5.3,0,110,112,16.6,-0.3,25.6,1.2
Jamal Murray,DEN,18/19,18.2,4.2,4.8,0.659,5.1,0,110,111,16.0,0.6,24.9,1.6
Lou Williams,LAC,18/19,20.0,3.0,5.4,0.585,5.1,0,112,114,21.2,2.2,32.4,2.1
