Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,Standings
Nikola Jokić,DEN,23/24,26.4,12.4,9.0,0.695,17.0,1,2
Shai Gilgeous-Alexander,OKC,23/24,30.1,5.5,6.2,0.695,14.6,0,2
Luka Dončić,DAL,23/24,33.9,9.2,9.8,0.61,12.0,0,5
Giannis Antetokounmpo,MIL,23/24,30.4,11.5,6.5,0.598,13.2,0,6
Jalen Brunson,NYK,23/24,28.7,3.6,6.7,0.61,11.2,0,5
Jayson Tatum,BOS,23/24,26.9,8.1,4.9,0.78,10.4,0,1
Anthony Edwards,MIN,23/24,25.9,5.4,5.1,0.683,7.5,0,3
Domantas Sabonis,SAC,23/24,19.4,13.7,8.2,0.561,12.6,0,9
Kevin Durant,PHO,23/24,27.1,6.6,5.0,0.598,8.3,0,6
Giannis Antetokounmpo,MIL,18/19,27.7,12.5,5.9,0.732,14.4,1,1
James Harden,HOU,18/19,36.1,6.6,7.5,0.646,15.2,0,5
Paul George,OKC,18/19,28.0,8.2,4.1,0.598,11.9,0,8
Nikola Jokić,DEN,18/19,20.1,10.8,7.3,0.659,11.8,0,4
Stephen Curry,GSW,18/19,27.3,5.3,5.2,0.695,9.7,0,3
Damian Lillard,POR,18/19,25.8,4.6,6.9,0.646,12.1,0,5
Joel Embiid,PHI,18/19,27.5,13.6,3.7,0.622,8.7,0,6
Kevin Durant,GSW,18/19,26.0,6.4,5.9,0.695,11.5,0,3
Kawhi Leonard,TOR,18/19,26.6,7.3,3.3,0.707,9.5,0,2
Russell Westbrook,OKC,18/19,22.9,11.1,10.7,0.598,6.8,0,8
Rudy Gobert,UTA,18/19,15.9,12.9,2.0,0.61,14.4,0,7
LeBron James,LAL,18/19,27.4,8.5,8.3,0.451,7.2,0,13
Stephen Curry,GSW,14/15,23.8,4.3,7.7,0.817,15.7,1,1
James Harden,HOU,14/15,27.4,5.7,7.0,0.683,16.4,0,3
LeBron James,CLE,14/15,25.3,6.0,7.4,0.646,10.4,0,5
Russell Westbrook,OKC,14/15,28.1,7.3,8.6,0.549,10.6,0,10
Anthony Davis,NOP,14/15,24.4,10.2,2.2,0.549,14.0,0,10
Chris Paul,LAC,14/15,19.1,4.6,10.2,0.683,16.1,0,3
LaMarcus Aldridge,POR,14/15,23.4,10.2,1.7,0.622,8.6,0,6
Marc Gasol,MEM,14/15,17.4,7.8,3.8,0.671,10.2,0,4
Blake Griffin,LAC,14/15,21.9,7.6,5.3,0.683,9.0,0,3
Tim Duncan,SAS,14/15,13.9,9.1,3.0,0.671,9.6,0,4
Kawhi Leonard,SAS,14/15,16.5,7.2,2.5,0.671,8.6,0,4
Klay Thompson,GSW,14/15,21.7,3.2,2.9,0.817,8.8,0,1
Joel Embiid,PHI,22/23,33.1,10.2,4.2,0.659,12.3,1,3
Nikola Jokić,DEN,22/23,24.5,11.8,9.8,0.646,14.9,0,4
Giannis Antetokounmpo,MIL,22/23,31.1,11.8,5.7,0.707,8.6,0,1
Jayson Tatum,BOS,22/23,30.1,8.8,4.6,0.695,10.5,0,2
Shai Gilgeous-Alexander,OKC,22/23,31.4,4.8,5.5,0.488,11.4,0,13
Donovan Mitchell,CLE,22/23,28.3,4.3,4.4,0.622,8.9,0,5
Domantas Sabonis,SAC,22/23,19.1,12.3,7.3,0.585,12.6,0,6
Luka Dončić,DAL,22/23,32.4,8.6,8.0,0.463,10.2,0,14
Stephen Curry,GSW,22/23,29.4,6.1,6.3,0.537,7.8,0,9
Jimmy Butler,MIA,22/23,22.9,5.9,5.3,0.537,12.3,0,9
De'Aaron Fox,SAC,22/23,25.0,4.2,6.1,0.585,7.4,0,6
LeBron James,MIA,11/12,27.1,7.9,6.2,0.697,14.5,1,3
Kevin Durant,OKC,11/12,28.0,8.0,3.5,0.712,12.2,0,2
Chris Paul,LAC,11/12,19.8,3.6,9.1,0.606,12.7,0,6
Kobe Bryant,LAL,11/12,27.9,5.4,4.6,0.621,6.2,0,5
Tony Parker,SAS,11/12,18.3,2.9,7.7,0.758,7.1,0,1
Kevin Love,MIN,11/12,26.0,13.3,2.0,0.394,10.0,0,16
Dwight Howard,ORL,11/12,20.6,14.5,1.9,0.561,7.7,0,9
Rajon Rondo,BOS,11/12,11.9,4.8,11.7,0.591,4.9,0,7
Steve Nash,PHO,11/12,12.5,3.0,10.7,0.5,5.9,0,13
Dwyane Wade,MIA,11/12,22.1,4.8,4.6,0.697,7.7,0,3
Derrick Rose,CHI,11/12,21.8,3.4,7.9,0.758,6.0,0,1
Dirk Nowitzki,DAL,11/12,21.6,6.7,2.2,0.545,7.6,0,10
Russell Westbrook,OKC,11/12,23.6,4.6,5.5,0.712,7.9,0,2
Tim Duncan,SAS,11/12,15.4,9.0,2.3,0.758,5.9,0,1
Joe Johnson,ATL,11/12,18.8,3.7,3.9,0.606,6.4,0,6
Dirk Nowitzki,DAL,06/07,24.6,8.9,3.4,0.817,16.3,1,1
Steve Nash,PHO,06/07,18.6,3.5,11.6,0.744,12.6,0,2
Kobe Bryant,LAL,06/07,31.6,5.7,5.4,0.512,13.0,0,12
Tim Duncan,SAS,06/07,20.0,10.6,3.4,0.707,13.0,0,3
LeBron James,CLE,06/07,27.3,6.7,6.0,0.61,13.7,0,7
Tracy McGrady,HOU,06/07,24.6,5.3,6.5,0.634,8.6,0,5
Chris Bosh,TOR,06/07,22.6,10.7,2.5,0.573,9.6,0,9
Gilbert Arenas,WAS,06/07,28.4,4.6,6.0,0.5,10.8,0,13
Carlos Boozer,UTA,06/07,20.9,11.7,3.0,0.622,9.9,0,6
Kevin Garnett,MIN,06/07,22.4,12.8,4.1,0.39,10.7,0,18
Chauncey Billups,DET,06/07,17.0,3.4,7.2,0.646,11.4,0,4
Shaquille O'Neal,MIA,06/07,17.3,7.4,2.0,0.537,2.8,0,11
Dwyane Wade,MIA,06/07,27.4,4.7,7.5,0.537,8.8,0,11
Amar'e Stoudemire,PHO,06/07,20.4,9.6,1.0,0.744,11.2,0,2
Carmelo Anthony,DEN,06/07,28.9,6.0,3.8,0.549,7.3,0,10
Baron Davis,GSW,06/07,20.1,4.4,8.1,0.512,6.4,0,12
Tony Parker,SAS,06/07,18.6,3.2,5.5,0.707,9.6,0,3
Steve Nash,PHO,05/06,18.8,4.2,10.5,0.659,12.4,1,4
LeBron James,CLE,05/06,31.4,7.0,6.6,0.61,16.3,0,6
Dirk Nowitzki,DAL,05/06,26.6,9.0,2.8,0.732,17.7,0,3
Kobe Bryant,LAL,05/06,35.4,5.3,4.5,0.549,15.3,0,9
Chauncey Billups,DET,05/06,18.5,3.1,8.6,0.78,15.5,0,1
Dwyane Wade,MIA,05/06,27.2,5.7,6.7,0.634,14.4,0,5
Elton Brand,LAC,05/06,24.7,10.0,2.6,0.573,14.8,0,8
Tim Duncan,SAS,05/06,18.6,11.0,3.2,0.768,10.8,0,2
Tony Parker,SAS,05/06,18.9,3.3,5.8,0.768,9.6,0,2
Allen Iverson,PHI,05/06,33.0,3.2,7.4,0.463,10.6,0,14
Shawn Marion,PHO,05/06,21.8,11.8,1.8,0.659,14.6,0,4
Nikola Jokić,DEN,21/22,27.1,13.8,7.9,0.585,15.2,1,7
Joel Embiid,PHI,21/22,30.6,11.7,4.2,0.622,12.0,0,5
Giannis Antetokounmpo,MIL,21/22,29.9,11.6,5.8,0.622,12.9,0,5
Devin Booker,PHO,21/22,26.8,5.0,4.8,0.78,7.6,0,1
Luka Dončić,DAL,21/22,28.4,9.1,8.7,0.634,7.6,0,4
Jayson Tatum,BOS,21/22,26.9,8.0,4.4,0.622,9.6,0,5
Ja Morant,MEM,21/22,27.4,5.7,6.7,0.683,6.7,0,2
Stephen Curry,GSW,21/22,25.5,5.2,6.3,0.646,8.0,0,3
Chris Paul,PHO,21/22,14.7,4.4,10.8,0.78,9.4,0,1
Russell Westbrook,OKC,16/17,31.6,10.7,10.4,0.573,13.1,1,7
James Harden,HOU,16/17,29.1,8.1,11.2,0.671,15.0,0,3
Kawhi Leonard,SAS,16/17,25.5,5.8,3.5,0.744,13.6,0,2
LeBron James,CLE,16/17,26.4,8.6,8.7,0.622,12.9,0,5
Isaiah Thomas,BOS,16/17,28.9,2.7,5.9,0.646,12.5,0,4
Stephen Curry,GSW,16/17,25.3,4.5,6.6,0.817,12.6,0,1
Giannis Antetokounmpo,MIL,16/17,22.9,8.8,5.4,0.512,12.4,0,9
John Wall,WAS,16/17,23.1,4.2,10.7,0.598,8.8,0,6
Anthony Davis,NOP,16/17,28.0,11.8,2.1,0.415,11.0,0,14
Kevin Durant,GSW,16/17,25.1,8.3,4.8,0.817,12.0,0,1
DeMar DeRozan,TOR,16/17,27.3,5.2,3.9,0.622,9.0,0,5
Kobe Bryant,LAL,07/08,28.3,6.3,5.4,0.695,13.8,1,3
Chris Paul,NOH,07/08,21.1,4.0,11.6,0.683,17.8,0,4
Kevin Garnett,BOS,07/08,18.8,9.2,3.4,0.805,12.9,0,1
LeBron James,CLE,07/08,30.0,7.9,7.2,0.549,15.2,0,11
Dwight Howard,ORL,07/08,20.7,14.2,1.3,0.634,12.9,0,7
Amar'e Stoudemire,PHO,07/08,25.2,9.1,1.5,0.671,14.6,0,5
Tim Duncan,SAS,07/08,19.3,11.3,2.8,0.683,11.1,0,4
Tracy McGrady,HOU,07/08,21.6,5.1,5.9,0.671,5.8,0,5
Steve Nash,PHO,07/08,16.9,3.5,11.1,0.671,10.5,0,5
Manu Ginóbili,SAS,07/08,19.5,4.8,4.5,0.683,11.1,0,4
Dirk Nowitzki,DAL,07/08,23.6,8.6,3.5,0.622,12.9,0,8
Deron Williams,UTA,07/08,18.8,3.0,10.5,0.659,11.3,0,6
Carmelo Anthony,DEN,07/08,25.7,7.4,3.4,0.61,8.2,0,9
Carlos Boozer,UTA,07/08,21.1,10.4,2.9,0.659,10.2,0,6
Antawn Jamison,WAS,07/08,21.4,10.2,1.5,0.524,9.2,0,12
Paul Pierce,BOS,07/08,19.6,5.1,4.5,0.805,12.4,0,1
Rasheed Wallace,DET,07/08,12.7,6.6,1.8,0.72,7.6,0,2
Stephen Curry,GSW,15/16,30.1,5.4,6.7,0.89,17.9,1,1
Kawhi Leonard,SAS,15/16,21.2,6.8,2.6,0.817,13.7,0,2
LeBron James,CLE,15/16,25.3,7.4,6.8,0.695,13.6,0,3
Russell Westbrook,OKC,15/16,23.5,7.8,10.4,0.671,14.0,0,5
Kevin Durant,OKC,15/16,28.2,8.2,5.0,0.671,14.5,0,5
Chris Paul,LAC,15/16,19.5,4.2,10.0,0.646,12.7,0,6
Draymond Green,GSW,15/16,14.0,9.5,7.4,0.89,11.1,0,1
Damian Lillard,POR,15/16,25.1,4.0,6.8,0.537,9.2,0,9
James Harden,HOU,15/16,29.0,6.1,7.5,0.5,13.3,0,11
Kyle Lowry,TOR,15/16,21.2,4.7,6.4,0.683,11.6,0,4
LeBron James,CLE,09/10,29.7,7.3,8.6,0.744,18.5,1,1
Kevin Durant,OKC,09/10,30.1,7.6,2.8,0.61,16.1,0,7
Kobe Bryant,LAL,09/10,27.0,5.4,5.0,0.695,9.4,0,3
Dwight Howard,ORL,09/10,18.3,13.2,1.8,0.72,13.2,0,2
Dwyane Wade,MIA,09/10,26.6,4.8,6.5,0.573,13.0,0,8
Carmelo Anthony,DEN,09/10,28.2,6.6,3.2,0.646,7.9,0,6
Dirk Nowitzki,DAL,09/10,25.0,7.7,2.7,0.671,12.3,0,4
Steve Nash,PHO,09/10,16.5,3.3,11.0,0.659,9.9,0,5
Deron Williams,UTA,09/10,18.7,4.0,10.5,0.646,10.3,0,6
Amar'e Stoudemire,PHO,09/10,23.1,8.9,1.0,0.659,10.7,0,5
Manu Ginóbili,SAS,09/10,16.5,3.8,4.9,0.61,9.7,0,7
Chauncey Billups,DEN,09/10,19.5,3.1,5.6,0.646,9.5,0,6
Chris Bosh,TOR,09/10,24.0,10.8,2.4,0.488,9.6,0,13
Joe Johnson,ATL,09/10,21.3,4.6,4.9,0.646,8.4,0,6
Nikola Jokić,DEN,20/21,26.4,10.8,8.3,0.653,15.6,1,5
Joel Embiid,PHI,20/21,28.5,10.6,2.8,0.681,8.8,0,3
Stephen Curry,GSW,20/21,32.0,5.5,5.8,0.542,9.0,0,10
Giannis Antetokounmpo,MIL,20/21,28.1,11.0,5.9,0.639,10.2,0,6
Chris Paul,PHO,20/21,16.4,4.5,8.9,0.708,9.2,0,2
Luka Dončić,DAL,20/21,27.7,8.0,8.6,0.583,7.7,0,7
Damian Lillard,POR,20/21,28.8,4.2,7.5,0.583,10.4,0,7
Julius Randle,NYK,20/21,24.1,10.2,6.0,0.569,7.8,0,8
Rudy Gobert,UTA,20/21,14.3,13.5,1.3,0.722,11.3,0,1
Russell Westbrook,WAS,20/21,22.2,11.5,11.7,0.472,3.7,0,13
Ben Simmons,PHI,20/21,14.3,7.2,6.9,0.681,6.0,0,3
LeBron James,LAL,20/21,25.0,7.7,7.8,0.583,5.6,0,7
Kawhi Leonard,LAC,20/21,24.8,6.5,5.2,0.653,8.8,0,5
Kevin Durant,OKC,13/14,32.0,7.4,5.5,0.72,19.2,1,2
LeBron James,MIA,13/14,27.1,6.9,6.3,0.659,15.9,0,5
Blake Griffin,LAC,13/14,24.1,9.5,3.9,0.695,12.2,0,3
Joakim Noah,CHI,13/14,12.6,11.3,5.4,0.585,11.2,0,9
James Harden,HOU,13/14,25.4,4.7,6.1,0.659,12.8,0,5
Stephen Curry,GSW,13/14,24.0,4.3,8.5,0.622,13.4,0,6
Chris Paul,LAC,13/14,19.1,4.3,10.7,0.695,12.2,0,3
Al Jefferson,CHO,13/14,21.8,10.8,2.1,0.524,7.8,0,11
Paul George,IND,13/14,21.7,6.8,3.5,0.683,10.8,0,4
LaMarcus Aldridge,POR,13/14,23.2,11.1,2.6,0.659,7.5,0,5
Kevin Love,MIN,13/14,26.1,12.5,4.4,0.488,14.3,0,12
Tim Duncan,SAS,13/14,15.1,9.7,3.0,0.756,7.4,0,1
Tony Parker,SAS,13/14,16.7,2.3,5.7,0.756,5.9,0,1
Dirk Nowitzki,DAL,13/14,21.7,6.2,2.7,0.598,10.9,0,8
Carmelo Anthony,NYK,13/14,27.4,8.1,3.1,0.451,10.7,0,14
Mike Conley,MEM,13/14,17.2,2.9,6.0,0.61,8.2,0,7
Derrick Rose,CHI,10/11,25.0,4.1,7.7,0.756,13.1,1,1
Dwight Howard,ORL,10/11,22.9,14.1,1.4,0.634,14.4,0,7
LeBron James,MIA,10/11,26.7,7.5,7.0,0.707,15.6,0,3
Kobe Bryant,LAL,10/11,25.3,5.1,4.7,0.695,10.3,0,4
Kevin Durant,OKC,10/11,27.7,6.8,2.7,0.671,12.0,0,6
Dirk Nowitzki,DAL,10/11,23.0,7.0,2.6,0.695,11.1,0,4
Dwyane Wade,MIA,10/11,25.5,6.4,4.6,0.707,12.8,0,3
Manu Ginóbili,SAS,10/11,17.4,3.7,4.9,0.744,9.9,0,2
Amar'e Stoudemire,NYK,10/11,25.3,8.2,2.6,0.512,8.0,0,13
Blake Griffin,LAC,10/11,22.5,12.1,3.8,0.39,9.8,0,21
Rajon Rondo,BOS,10/11,10.6,4.4,11.2,0.683,6.6,0,5
Tony Parker,SAS,10/11,17.5,3.1,6.6,0.744,8.2,0,2
Chris Paul,NOH,10/11,15.9,4.1,9.8,0.561,13.9,0,10
James Harden,HOU,17/18,30.4,5.4,8.8,0.793,15.4,1,1
LeBron James,CLE,17/18,27.5,8.6,9.1,0.61,14.0,0,6
Anthony Davis,NOP,17/18,28.1,11.1,2.3,0.585,13.7,0,8
Damian Lillard,POR,17/18,26.9,4.5,6.6,0.598,12.6,0,7
Russell Westbrook,OKC,17/18,25.4,10.1,10.3,0.585,10.1,0,8
Giannis Antetokounmpo,MIL,17/18,26.9,10.0,4.8,0.537,11.9,0,11
Kevin Durant,GSW,17/18,26.4,6.8,5.4,0.707,10.4,0,3
DeMar DeRozan,TOR,17/18,23.0,3.9,5.2,0.72,9.6,0,2
LaMarcus Aldridge,SAS,17/18,23.1,8.5,2.0,0.573,10.9,0,9
Jimmy Butler,MIN,17/18,22.2,5.3,4.9,0.573,8.9,0,9
Stephen Curry,GSW,17/18,26.4,5.1,6.1,0.707,9.1,0,3
Joel Embiid,PHI,17/18,22.9,11.0,3.2,0.634,6.2,0,5
Victor Oladipo,IND,17/18,23.1,5.2,4.3,0.585,8.2,0,8
LeBron James,MIA,12/13,26.8,8.0,7.3,0.805,19.3,1,1
Kevin Durant,OKC,12/13,28.1,7.9,4.6,0.732,18.9,0,2
Carmelo Anthony,NYK,12/13,28.7,6.9,2.6,0.659,9.5,0,6
Chris Paul,LAC,12/13,16.9,3.7,9.7,0.683,13.9,0,5
Kobe Bryant,LAL,12/13,27.3,5.6,6.0,0.549,10.9,0,10
Tony Parker,SAS,12/13,20.3,3.0,7.6,0.707,9.3,0,3
Tim Duncan,SAS,12/13,17.8,9.9,2.7,0.707,8.3,0,3
James Harden,HOU,12/13,25.9,4.9,5.8,0.549,12.8,0,10
Russell Westbrook,OKC,12/13,23.2,5.2,7.4,0.732,11.6,0,2
Dwyane Wade,MIA,12/13,21.2,5.0,5.1,0.805,9.6,0,1
Stephen Curry,GSW,12/13,22.9,4.0,6.9,0.573,11.2,0,9
Kevin Garnett,BOS,12/13,14.8,7.8,2.3,0.506,5.6,0,13
Marc Gasol,MEM,12/13,14.1,7.8,4.0,0.683,11.5,0,5
Ty Lawson,DEN,12/13,16.7,2.7,6.9,0.695,7.4,0,4
David Lee,GSW,12/13,18.5,11.2,3.5,0.573,9.1,0,9
Joakim Noah,CHI,12/13,11.9,11.1,4.0,0.549,7.3,0,10
Steve Nash,PHO,04/05,15.5,3.3,11.5,0.756,10.9,1,1
Shaquille O'Neal,MIA,04/05,22.9,10.4,2.7,0.72,11.0,0,2
Dirk Nowitzki,DAL,04/05,26.1,9.7,3.1,0.707,15.6,0,3
Tim Duncan,SAS,04/05,20.3,11.1,2.7,0.72,11.2,0,2
Allen Iverson,PHI,04/05,30.7,4.0,7.9,0.524,9.0,0,12
LeBron James,CLE,04/05,27.2,7.4,7.2,0.512,14.3,0,13
Tracy McGrady,HOU,04/05,25.7,6.2,5.7,0.622,12.0,0,6
Dwyane Wade,MIA,04/05,24.1,5.2,6.8,0.72,11.0,0,2
Amar'e Stoudemire,PHO,04/05,26.0,8.9,1.6,0.756,14.6,0,1
Ray Allen,OKC,04/05,23.9,4.4,3.7,0.634,10.7,0,5
Kevin Garnett,MIN,04/05,22.2,13.5,5.7,0.537,16.1,0,11
Gilbert Arenas,WAS,04/05,25.5,4.7,5.1,0.549,11.5,0,10
P.J. Brown,NOH,04/05,10.8,9.0,2.2,0.22,6.9,0,21
Marcus Camby,DEN,04/05,10.3,10.0,2.3,0.598,5.8,0,8
Shawn Marion,PHO,04/05,19.4,11.3,1.9,0.756,12.5,0,1
Giannis Antetokounmpo,MIL,19/20,29.5,13.6,5.6,0.767,11.1,1,1
LeBron James,LAL,19/20,25.3,7.8,10.2,0.732,9.8,0,3
James Harden,HOU,19/20,34.3,6.6,7.5,0.611,13.1,0,8
Luka Dončić,DAL,19/20,28.8,9.4,8.8,0.573,8.8,0,11
Kawhi Leonard,LAC,19/20,27.1,7.1,4.9,0.681,8.7,0,4
Anthony Davis,LAL,19/20,26.1,9.3,3.2,0.732,11.1,0,3
