Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Kevin Durant,OKC,09_10,30.1,7.6,2.8,0.61,1
LeBron James,CLE,09_10,29.7,7.3,8.6,0.744,1
Carmelo Anthony,DEN,09_10,28.2,6.6,3.2,0.646,1
Kobe Bryant,LAL,09_10,27.0,5.4,5.0,0.695,1
Dwyane Wade,MIA,09_10,26.6,4.8,6.5,0.573,1
Monta Ellis,GSW,09_10,25.5,4.0,5.3,0.317,0
Dirk Nowitzki,DAL,09_10,25.0,7.7,2.7,0.671,1
Danny Granger,IND,09_10,24.1,5.5,2.8,0.39,0
Chris Bosh,TOR,09_10,24.0,10.8,2.4,0.488,1
Amar'e Stoudemire,PHO,09_10,23.1,8.9,1.0,0.659,1
Gilbert Arenas,WAS,09_10,22.6,4.2,7.2,0.317,0
Brandon Roy,POR,09_10,21.5,4.4,4.7,0.61,0
Joe Johnson,ATL,09_10,21.3,4.6,4.9,0.646,1
Derrick Rose,CHI,09_10,20.8,3.8,6.0,0.5,0
Zach Randolph,MEM,09_10,20.8,11.7,1.8,0.488,0
Stephen Jackson,CHAGSW,09_10,20.6,5.0,3.7,,1
Kevin Martin,HOUSAC,09_10,20.6,3.6,2.4,,0
David Lee,NYK,09_10,20.2,11.7,3.6,0.354,0
Tyreke Evans,SAC,09_10,20.1,5.3,5.8,0.305,0
Corey Maggette,GSW,09_10,19.8,5.3,2.5,0.317,0
Rudy Gay,MEM,09_10,19.6,5.9,1.9,0.488,0
Aaron Brooks,HOU,09_10,19.6,2.6,5.3,0.512,0
Chauncey Billups,DEN,09_10,19.5,3.1,5.6,0.646,1
Carlos Boozer,UTA,09_10,19.5,11.2,3.2,0.646,0
David West,NOH,09_10,19.0,7.5,3.0,0.451,0
Brook Lopez,NJN,09_10,18.8,8.6,2.3,0.146,0
Antawn Jamison,CLEWAS,09_10,18.7,8.4,1.3,,0
Chris Paul,NOH,09_10,18.7,4.2,10.7,0.451,0
Deron Williams,UTA,09_10,18.7,4.0,10.5,0.646,1
Chris Kaman,LAC,09_10,18.5,9.3,1.6,0.354,0
Dwight Howard,ORL,09_10,18.3,13.2,1.8,0.72,1
Pau Gasol,LAL,09_10,18.3,11.3,3.4,0.695,0
Paul Pierce,BOS,09_10,18.3,4.4,3.1,0.61,0
Gerald Wallace,CHA,09_10,18.2,10.0,2.1,0.537,0
Richard Hamilton,DET,09_10,18.1,2.7,4.4,0.329,0
Jamal Crawford,ATL,09_10,18.0,2.5,3.0,0.646,0
Tim Duncan,SAS,09_10,17.9,10.1,3.2,0.61,0
LaMarcus Aldridge,POR,09_10,17.9,8.0,2.1,0.61,0
Al Harrington,NYK,09_10,17.7,5.6,1.5,0.354,0
Luol Deng,CHI,09_10,17.6,7.3,2.0,0.5,0
Stephen Curry,GSW,09_10,17.5,4.4,5.9,0.317,0
O.J. Mayo,MEM,09_10,17.5,3.8,3.0,0.488,0
Andrea Bargnani,TOR,09_10,17.2,6.2,1.2,0.488,0
Al Jefferson,MIN,09_10,17.1,9.2,1.8,0.183,0
Andre Iguodala,PHI,09_10,17.1,6.5,5.8,0.329,0
