Player,Team,Season,PPG,RPG,APG
Allen Iverson,PHI,04_05,30.7,4.0,7.9
Kobe Bryant,LAL,04_05,27.6,5.9,6.0
LeBron James,CLE,04_05,27.2,7.4,7.2
Dirk Nowitzki,DAL,04_05,26.1,9.7,3.1
Amar'e Stoudemire,PHO,04_05,26.0,8.9,1.6
Tracy McGrady,HOU,04_05,25.7,6.2,5.7
Gilbert Arenas,WAS,04_05,25.5,4.7,5.1
Metta World Peace,IND,04_05,24.6,6.4,3.1
Vince Carter,NJNTOR,04_05,24.5,5.2,4.2
Jermaine O'Neal,IND,04_05,24.3,8.8,1.9
Dwyane Wade,MIA,04_05,24.1,5.2,6.8
Ray Allen,SEA,04_05,23.9,4.4,3.7
Michael Redd,MIL,04_05,23.0,4.2,2.3
Shaquille O'Neal,MIA,04_05,22.9,10.4,2.7
Richard Jefferson,NJN,04_05,22.2,7.3,4.0
Corey Maggette,LAC,04_05,22.2,6.0,3.4
Kevin Garnett,MIN,04_05,22.2,13.5,5.7
Larry Hughes,WAS,04_05,22.0,6.3,4.7
Stephon Marbury,NYK,04_05,21.7,3.0,8.1
Jason Richardson,GSW,04_05,21.7,5.9,3.9
Paul Pierce,BOS,04_05,21.6,6.6,4.2
Steve Francis,ORL,04_05,21.3,5.8,7.0
Carmelo Anthony,DEN,04_05,20.8,5.7,2.6
Rashard Lewis,SEA,04_05,20.5,5.5,1.3
Tim Duncan,SAS,04_05,20.3,11.1,2.7
Peja Stojaković,SAC,04_05,20.1,4.3,2.1
Elton Brand,LAC,04_05,20.0,9.5,2.6
Grant Hill,ORL,04_05,19.7,4.7,3.3
Mike Bibby,SAC,04_05,19.6,4.2,6.8
Antawn Jamison,WAS,04_05,19.6,7.6,2.3
Chris Webber,PHISAC,04_05,19.5,9.1,4.7
Shawn Marion,PHO,04_05,19.4,11.3,1.9
Baron Davis,GSWNOH,04_05,19.2,3.8,7.9
Antoine Walker,ATLBOS,04_05,19.1,9.0,3.4
Zach Randolph,POR,04_05,18.9,9.6,1.9
Richard Hamilton,DET,04_05,18.7,3.9,4.9
Stephen Jackson,IND,04_05,18.7,4.9,2.3
Jalen Rose,TOR,04_05,18.5,3.4,2.6
Yao Ming,HOU,04_05,18.3,8.4,0.8
Carlos Boozer,UTA,04_05,17.8,9.0,2.8
Pau Gasol,MEM,04_05,17.8,7.3,2.4
Jamal Crawford,NYK,04_05,17.7,2.9,4.3
Al Harrington,ATL,04_05,17.5,7.0,3.2
Desmond Mason,MIL,04_05,17.2,3.9,2.7
Cuttino Mobley,ORLSAC,04_05,17.2,3.5,2.8
Joe Johnson,PHO,04_05,17.1,5.1,3.5
Zydrunas Ilgauskas,CLE,04_05,16.9,8.6,1.3
Shareef Abdur-Rahim,POR,04_05,16.8,7.3,2.1
