Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Carmelo Anthony;28.7;2012-13;28;NYK;67;67;1;2482;669;1489;512;1075;157;414;425;512;134;326;460;171;52;32;175;205;1920;0.449;0.476;0.379;0.83;0.56;0.502;F;anthoca01
2;Kevin Durant;28.1;2012-13;24;OKC;81;81;1;3119;731;1433;592;1099;139;334;679;750;46;594;640;374;116;105;280;143;2280;0.51;0.539;0.416;0.905;0.647;0.559;F-G;duranke01
3;Kobe Bryant;27.3;2012-13;34;LAL;78;78;1;3013;738;1595;606;1188;132;407;525;626;66;367;433;469;106;25;287;173;2133;0.463;0.51;0.324;0.839;0.57;0.504;G-F;bryanko01
4;LeBron James;26.8;2012-13;28;MIA;76;76;1;2877;765;1354;662;1100;103;254;403;535;97;513;610;551;129;67;226;110;2036;0.565;0.602;0.406;0.753;0.64;0.603;F-G;jamesle01
5;James Harden;25.9;2012-13;23;HOU;78;78;1;2985;585;1337;406;851;179;486;674;792;62;317;379;455;142;38;295;178;2023;0.438;0.477;0.368;0.851;0.6;0.504;G;hardeja01
6;Russell Westbrook;23.2;2012-13;24;OKC;82;82;1;2861;673;1535;576;1235;97;300;460;575;111;317;428;607;145;24;273;189;1903;0.438;0.466;0.323;0.8;0.532;0.47;G;westbru01
7;Stephen Curry;22.9;2012-13;24;GSW;78;78;0;2983;626;1388;354;788;272;600;262;291;59;255;314;539;126;12;240;198;1786;0.451;0.449;0.453;0.9;0.589;0.549;G;curryst01
8;Kyrie Irving;22.5;2012-13;20;CLE;59;59;1;2048;484;1070;375;791;109;279;248;290;34;182;216;350;89;21;191;146;1325;0.452;0.474;0.391;0.855;0.553;0.503;G;irvinky01
9;Dwyane Wade;21.2;2012-13;31;MIA;69;69;1;2391;569;1093;552;1027;17;66;308;425;86;258;344;352;128;56;194;140;1463;0.521;0.537;0.258;0.725;0.571;0.528;G;wadedw01
10;LaMarcus Aldridge;21.1;2012-13;27;POR;74;74;1;2790;638;1318;636;1304;2;14;282;348;175;495;670;192;62;91;143;187;1560;0.484;0.488;0.143;0.81;0.53;0.485;F-C;aldrila01
11;Tony Parker;20.3;2012-13;30;SAS;66;66;1;2174;519;995;495;927;24;68;279;330;18;180;198;499;54;6;170;92;1341;0.522;0.534;0.353;0.845;0.588;0.534;G;parketo01
12;Brook Lopez;19.4;2012-13;24;BRK;74;74;1;2253;570;1094;570;1093;0;1;297;392;208;304;512;70;33;154;131;152;1437;0.521;0.522;0;0.758;0.567;0.521;C;lopezbr01
13;Monta Ellis;19.2;2012-13;27;MIL;82;82;0;3076;597;1436;503;1108;94;328;289;374;45;271;316;496;169;36;254;164;1577;0.416;0.454;0.287;0.773;0.493;0.448;G;ellismo01
14;Damian Lillard;19;2012-13;22;POR;82;82;0;3167;553;1288;368;785;185;503;271;321;42;215;257;531;74;19;243;172;1562;0.429;0.469;0.368;0.844;0.546;0.501;G;lillada01
15;Deron Williams;18.9;2012-13;28;BRK;78;78;0;2842;495;1124;326;677;169;447;317;369;29;203;232;604;75;30;218;194;1476;0.44;0.482;0.378;0.859;0.574;0.516;G;willide01
16;Paul Pierce;18.6;2012-13;35;BOS;77;77;0;2575;476;1092;331;710;145;382;333;423;45;442;487;370;84;30;214;210;1430;0.436;0.466;0.38;0.787;0.559;0.502;F-G;piercpa01
17;John Wall;18.5;2012-13;22;WAS;49;42;0;1602;324;735;312;690;12;45;246;306;35;161;196;373;65;37;157;117;906;0.441;0.452;0.267;0.804;0.521;0.449;G;walljo01
18;David Lee;18.5;2012-13;29;GSW;79;79;1;2907;602;1160;602;1156;0;4;255;320;218;668;886;279;67;22;207;246;1459;0.519;0.521;0;0.797;0.561;0.519;F-C;leeda02
19;Kevin Love;18.3;2012-13;24;MIN;18;18;0;618;105;298;85;206;20;92;100;142;64;188;252;42;13;9;39;34;330;0.352;0.413;0.217;0.704;0.458;0.386;F-C;loveke01
20;Rudy Gay;18.2;2012-13;26;MEMTOR;75;74;0;2687;521;1253;437;993;84;260;240;295;99;362;461;202;113;53;198;182;1366;0.416;0.44;0.323;0.814;0.494;0.449;F;gayru01
21;DeMar DeRozan;18.1;2012-13;23;TOR;82;82;0;3013;548;1231;514;1111;34;120;355;427;48;272;320;204;76;24;151;173;1485;0.445;0.463;0.283;0.831;0.523;0.459;G-F;derozde01
