Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier,Standings,Top3_Team,PPG_weighted,Efficiency_score,PPG_rel,Net_Rating,BPM_x_USG%,PPG_x_Win%
Giannis Antetokounmpo,MIL,18/19,2.2191780821917813,2.580645161290322,1.7727272727272727,0.9589743589743588,3.777777777777777,1,1.0,-1.2857142857142858,3.5,4.347826086956522,1.885714285714285,5.25,False,1,1,2.1,6.3,17.0,2.3,8.2,2.1
LaMarcus Aldridge,SAS,18/19,1.3424657534246578,1.516129032258064,0.1818181818181817,0.2051282051282047,1.888888888888889,0,0.5555555555555556,0.2857142857142857,1.6818181818181814,0.6086956521739131,1.114285714285714,1.2499999999999998,False,9,0,0.3,0.6,10.3,0.3,0.7,0.3
Pascal Siakam,TOR,18/19,0.7397260273972602,0.7741935483870968,0.5,0.8307692307692304,1.888888888888889,0,0.8888888888888888,-0.1428571428571428,0.7272727272727271,0.8695652173913044,0.2428571428571427,1.4166666666666663,False,2,1,0.6,1.7,5.7,1.0,0.2,0.6
Steven Adams,OKC,18/19,0.3150684931506851,1.6129032258064513,-0.1818181818181817,0.2717948717948714,1.8148148148148144,0,0.8888888888888888,-0.2857142857142857,0.6818181818181818,0.3043478260869566,-0.3857142857142861,0.8333333333333333,False,8,0,0.1,0.5,2.4,1.2,-0.1,0.1
Montrezl Harrell,LAC,18/19,0.6986301369863017,0.6451612903225805,0.0,0.2051282051282047,1.6666666666666663,0,1.1111111111111112,0.1428571428571428,1.795454545454545,1.2608695652173914,0.6285714285714283,1.4999999999999996,False,9,0,0.1,0.3,5.3,1.0,0.8,0.1
Eric Bledsoe,MIL,18/19,0.6027397260273974,0.0322580645161289,1.5909090909090908,0.9589743589743588,1.481481481481481,0,0.4444444444444444,-0.4285714285714285,0.8636363636363638,1.173913043478261,0.5428571428571425,1.4999999999999996,False,1,1,0.6,2.1,4.6,0.9,0.6,0.6
Danilo Gallinari,LAC,18/19,1.1369863013698631,0.5161290322580643,0.2727272727272727,0.2051282051282047,1.481481481481481,0,1.4444444444444444,0.5714285714285714,1.25,1.6956521739130437,0.6714285714285714,1.8333333333333328,False,9,0,0.2,0.4,8.7,0.9,1.1,0.2
Mike Conley,MEM,18/19,1.3150684931506853,-0.3548387096774193,2.0,-0.7333333333333334,1.4074074074074072,0,0.5555555555555556,0.4285714285714285,1.3409090909090904,1.8695652173913044,1.1714285714285713,2.333333333333333,True,15,0,-1.0,-2.2,10.0,0.1,2.2,-1.0
Derrick Favors,UTA,18/19,0.041095890410959,0.935483870967742,-0.3636363636363636,0.333333333333333,1.3703703703703702,0,1.3333333333333333,-0.7142857142857143,1.431818181818182,1.2608695652173914,0.0428571428571424,1.083333333333333,False,7,0,0.0,0.2,0.3,2.0,0.1,0.0
Jusuf Nurkić,POR,18/19,0.5616438356164384,1.9032258064516128,0.5454545454545455,0.5179487179487178,1.333333333333333,0,0.4444444444444444,-0.4285714285714285,1.795454545454545,1.4347826086956523,0.7999999999999997,1.4166666666666663,False,5,0,0.3,1.6,4.3,0.9,1.1,0.3
