Player,Team,Season,ORtg,DRtg,PER,BPM,USG%,VORP
James Harden,HOU,18/19,118,108,30.6,11.0,40.5,9.3
Rudy Gobert,UTA,18/19,133,100,24.6,5.4,17.8,4.8
Giannis Antetokounmpo,MIL,18/19,121,99,30.9,10.4,32.3,7.4
Damian Lillard,POR,18/19,121,112,23.7,6.4,29.3,6.0
Paul George,OKC,18/19,116,105,23.3,7.2,29.5,6.6
Nikola Jokić,DEN,18/19,119,105,26.3,9.1,27.4,7.0
Kevin Durant,GSW,18/19,121,110,24.2,5.5,29.0,5.1
Clint Capela,HOU,18/19,133,108,23.8,3.0,18.2,2.8
Karl-Anthony Towns,MIN,18/19,118,108,26.3,6.0,28.9,5.1
Nikola Vučević,ORL,18/19,115,103,25.5,6.6,28.0,5.5
Andre Drummond,DET,18/19,113,100,23.4,2.1,22.9,2.7
Stephen Curry,GSW,18/19,120,110,24.4,6.6,30.4,5.1
Kawhi Leonard,TOR,18/19,119,105,25.8,7.2,30.3,4.7
Anthony Davis,NOP,18/19,122,105,30.3,9.4,29.5,5.3
LaMarcus Aldridge,SAS,18/19,117,110,22.9,1.8,26.9,2.6
Pascal Siakam,TOR,18/19,120,107,18.7,2.4,20.8,2.8
Kyrie Irving,BOS,18/19,118,108,24.3,7.2,29.6,5.1
Steven Adams,OKC,18/19,120,106,18.5,1.1,16.4,2.1
Joel Embiid,PHI,18/19,114,104,26.1,4.9,33.3,3.8
Montrezl Harrell,LAC,18/19,122,109,23.4,3.3,23.5,2.9
Ben Simmons,PHI,18/19,114,108,20.0,3.6,22.1,3.8
Eric Bledsoe,MIL,18/19,116,105,19.3,3.1,22.9,2.9
Danilo Gallinari,LAC,18/19,125,112,21.0,4.3,23.8,3.3
Mike Conley,MEM,18/19,117,111,21.4,4.7,27.3,3.9
Blake Griffin,DET,18/19,113,110,21.0,5.1,30.2,4.7
Derrick Favors,UTA,18/19,124,103,21.8,3.3,19.4,2.4
Jimmy Butler,MINPHI,18/19,121,110,20.2,3.7,22.3,3.2
Jusuf Nurkić,POR,18/19,116,105,23.4,3.7,24.7,2.8
Jarrett Allen,BRK,18/19,123,106,18.5,1.6,15.9,1.9
Bradley Beal,WAS,18/19,113,114,20.8,2.9,28.4,3.7
Domantas Sabonis,IND,18/19,118,104,21.9,3.1,23.5,2.4
Dwight Powell,DAL,18/19,135,110,20.4,2.9,17.2,2.1
Al Horford,BOS,18/19,122,107,20.2,5.1,18.9,3.6
Kemba Walker,CHO,18/19,112,114,21.7,4.2,31.5,4.4
Jerami Grant,OKC,18/19,119,108,13.8,0.2,15.4,1.5
LeBron James,LAL,18/19,114,108,25.6,8.0,31.6,4.9
DeAndre Jordan,DALNYK,18/19,122,106,19.0,2.1,15.0,2.1
Tobias Harris,LACPHI,18/19,114,111,17.2,1.6,22.8,2.6
D.J. Augustin,ORL,18/19,122,112,15.7,0.5,17.2,1.4
Thaddeus Young,IND,18/19,113,106,16.2,1.5,18.0,2.2
Darren Collison,IND,18/19,118,108,16.7,1.8,17.7,2.1
Bam Adebayo,MIA,18/19,120,104,17.9,1.8,15.8,1.8
Russell Westbrook,OKC,18/19,105,103,21.1,5.2,30.9,4.7
Bojan Bogdanović,IND,18/19,114,110,16.1,0.7,22.4,1.7
Willie Cauley-Stein,SAC,18/19,118,108,18.0,1.2,17.5,1.8
Brook Lopez,MIL,18/19,113,103,14.6,2.2,16.7,2.4
Kyle Lowry,TOR,18/19,115,108,16.5,2.3,19.6,2.4
Chris Paul,HOU,18/19,118,109,19.7,3.9,22.5,2.8
Malcolm Brogdon,MIL,18/19,121,108,17.8,2.2,20.7,1.9
Myles Turner,IND,18/19,110,101,18.0,2.5,20.0,2.4
Hassan Whiteside,MIA,18/19,112,99,23.5,2.3,22.6,1.8
DeMar DeRozan,SAS,18/19,110,111,19.6,1.1,27.9,2.2
Monte Morris,DEN,18/19,124,111,16.2,1.5,17.1,1.7
Mitchell Robinson,NYK,18/19,140,106,22.0,2.5,12.1,1.6
Khris Middleton,MIL,18/19,109,106,16.5,0.8,25.1,1.7
Paul Millsap,DEN,18/19,116,106,17.9,1.7,19.6,1.8
Serge Ibaka,TOR,18/19,113,105,18.7,0.2,22.9,1.2
