Player,Team,Season,PPG,RPG,APG,WS
James Harden,HOU,18/19,36.1,6.6,7.5,15.2
Rudy Gobert,UTA,18/19,15.9,12.9,2.0,14.4
Giannis Antetokounmpo,MIL,18/19,27.7,12.5,5.9,14.4
Damian Lillard,POR,18/19,25.8,4.6,6.9,12.1
Paul George,OKC,18/19,28.0,8.2,4.1,11.9
Nikola Jokić,DEN,18/19,20.0,10.8,7.2,11.8
Kevin Durant,GSW,18/19,26.0,6.4,5.9,11.5
Clint Capela,HOU,18/19,16.6,12.7,1.4,10.8
Karl-Anthony Towns,MIN,18/19,24.4,12.4,3.4,10.4
Nikola Vučević,ORL,18/19,20.8,12.0,3.8,10.1
Andre Drummond,DET,18/19,17.3,15.6,1.4,10.0
Stephen Curry,GSW,18/19,27.3,5.3,5.2,9.7
Kawhi Leonard,TOR,18/19,26.6,7.3,3.3,9.5
Anthony Davis,NOP,18/19,25.9,12.0,3.9,9.5
LaMarcus Aldridge,SAS,18/19,21.3,9.2,2.4,9.3
Pascal Siakam,TOR,18/19,16.9,6.9,3.1,9.3
Kyrie Irving,BOS,18/19,23.8,5.0,6.9,9.1
Steven Adams,OKC,18/19,13.8,9.5,1.6,9.1
Joel Embiid,PHI,18/19,27.5,13.6,3.7,8.7
Montrezl Harrell,LAC,18/19,16.6,6.5,2.0,8.7
Ben Simmons,PHI,18/19,16.9,8.8,7.7,8.2
Eric Bledsoe,MIL,18/19,15.9,4.6,5.5,8.2
Danilo Gallinari,LAC,18/19,19.8,6.1,2.6,8.2
Mike Conley,MEM,18/19,21.1,3.4,6.4,8.0
Blake Griffin,DET,18/19,24.5,7.5,5.4,8.0
Derrick Favors,UTA,18/19,11.8,7.4,1.2,7.9
Jimmy Butler,MINPHI,18/19,18.7,5.3,4.0,7.9
Jusuf Nurkić,POR,18/19,15.6,10.4,3.2,7.8
Jarrett Allen,BRK,18/19,10.9,8.4,1.4,7.6
Bradley Beal,WAS,18/19,25.6,5.0,5.5,7.6
Domantas Sabonis,IND,18/19,14.1,9.3,2.9,7.6
Dwight Powell,DAL,18/19,10.6,5.3,1.5,7.5
Al Horford,BOS,18/19,13.6,6.7,4.2,7.5
Kemba Walker,CHO,18/19,25.6,4.4,5.9,7.4
Jerami Grant,OKC,18/19,13.6,5.2,1.0,7.3
LeBron James,LAL,18/19,27.4,8.5,8.3,7.2
DeAndre Jordan,DALNYK,18/19,11.0,13.1,2.3,7.1
Tobias Harris,LACPHI,18/19,20.0,7.9,2.8,7.1
D.J. Augustin,ORL,18/19,11.7,2.5,5.3,6.9
Thaddeus Young,IND,18/19,12.6,6.5,2.5,6.9
Darren Collison,IND,18/19,11.2,3.1,6.0,6.8
Bam Adebayo,MIA,18/19,8.9,7.3,2.2,6.8
Russell Westbrook,OKC,18/19,22.9,11.1,10.7,6.8
Bojan Bogdanović,IND,18/19,18.0,4.1,2.0,6.8
Willie Cauley-Stein,SAC,18/19,11.9,8.4,2.4,6.7
Brook Lopez,MIL,18/19,12.5,4.9,1.2,6.7
Kyle Lowry,TOR,18/19,14.2,4.8,8.7,6.6
Chris Paul,HOU,18/19,15.6,4.6,8.2,6.6
Malcolm Brogdon,MIL,18/19,15.6,4.5,3.2,6.5
Myles Turner,IND,18/19,13.3,7.2,1.6,6.3
Hassan Whiteside,MIA,18/19,12.3,11.3,0.8,6.3
DeMar DeRozan,SAS,18/19,21.2,6.0,6.2,6.3
Monte Morris,DEN,18/19,10.4,2.4,3.6,6.2
Mitchell Robinson,NYK,18/19,7.3,6.4,0.6,6.1
Khris Middleton,MIL,18/19,18.3,6.0,4.3,6.1
