Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;James Harden;15;2016-17;27;HOU;81;81;1;15;118;107;11.5;3.6;0.245;7.5;1.2;8.7;8;27.4;3.5;20.9;12.2;50.7;2;1;19.5;34.2;G;hardeja01
2;Rudy Gobert;14.3;2016-17;24;UTA;81;81;0;14.3;129;99;8.3;6;0.25;2.2;2.2;4.4;4.4;23.3;13.6;29.5;21.8;5.7;0.9;6.4;15;16.7;C;goberru01
3;Jimmy Butler;13.8;2016-17;27;CHI;76;75;1;13.8;123;106;10.1;3.8;0.236;5.6;1.7;7.3;6.6;25.1;4.9;13.2;9;24.8;2.6;0.9;9.3;26.5;F-G;butleji01
4;Kawhi Leonard;13.6;2016-17;25;SAS;74;74;1;13.6;121;102;8.9;4.7;0.264;7.1;2.2;9.4;7.1;27.6;3.7;15.7;9.8;18.9;2.7;1.8;9.1;31.1;F;leonaka01
5;Russell Westbrook;13.1;2016-17;28;OKC;81;81;1;13.1;112;104;8.5;4.6;0.224;8.7;2.4;11.1;9.3;30.6;5.4;28.8;17.1;57.3;2.3;0.9;15.9;41.7;G;westbru01
6;LeBron James;12.9;2016-17;32;CLE;74;74;1;12.9;119;108;9.8;3;0.221;6.4;1.2;7.6;6.7;27;4;20.7;12.6;41.3;1.6;1.3;16.1;30;F-G;jamesle01
7;Karl-Anthony Towns;12.7;2016-17;21;MIN;82;82;0;12.7;121;110;9.9;2.8;0.201;5.5;-0.7;4.7;5.2;25.9;11.2;27.8;19.4;13.2;0.9;2.9;11.3;27.5;C-F;townska01
8;Stephen Curry;12.6;2016-17;28;GSW;79;79;1;12.6;119;105;8.7;3.9;0.229;6.7;0.3;6.9;5.9;24.6;2.7;11.4;7.3;31.2;2.6;0.5;13;30.1;G;curryst01
9;Isaiah Thomas;12.5;2016-17;27;BOS;76;76;1;12.5;122;112;10.9;1.6;0.234;7.8;-1.1;6.7;5.6;26.5;1.9;7;4.4;32.5;1.4;0.4;10.7;34;G;thomais02
10;Giannis Antetokounmpo;12.4;2016-17;22;MIL;80;80;1;12.4;116;104;7.9;4.5;0.21;4.9;2.4;7.3;6.7;26.1;5.9;22.6;14.3;26.6;2.3;4.7;13.3;28.3;F-G;antetgi01
11;Kevin Durant;12;2016-17;28;GSW;62;62;1;12;125;101;8;4;0.278;6.7;2.2;8.9;5.7;27.6;2.2;23.6;13.6;23.1;1.5;3.8;10.4;27.8;F-G;duranke01
12;DeAndre Jordan;11.8;2016-17;28;LAC;81;81;1;11.8;129;102;7.2;4.6;0.221;2.5;0.9;3.3;3.5;21.8;13.3;34.6;24.2;5.7;1;4.3;13.1;15.3;C;jordade01
13;Anthony Davis;11;2016-17;23;NOP;75;75;1;11;112;102;5.9;5.1;0.195;4.4;1.4;5.9;5.4;27.5;6.7;27.9;17.2;11.1;1.7;5.1;9.1;32.6;F-C;davisan02
14;Chris Paul;10.6;2016-17;31;LAC;61;61;0;10.6;126;106;7.9;2.6;0.264;6.3;2.5;8.7;5.2;26.2;2.4;15;8.8;46.8;3.1;0.3;14;24.4;G;paulch01
15;Gordon Hayward;10.4;2016-17;26;UTA;73;73;1;10.4;118;106;7.1;3.3;0.199;4.6;0.5;5;4.5;22.2;2.3;15.4;9;18.2;1.5;0.6;9.4;27.6;F-G;haywago01
16;Damian Lillard;10.4;2016-17;26;POR;75;75;0;10.4;118;113;8.8;1.5;0.185;6.1;-1.1;5;4.8;24.1;1.9;13.3;7.6;28.7;1.3;0.6;10.2;31.5;G;lillada01
17;Kyle Lowry;10.1;2016-17;30;TOR;60;60;1;10.1;123;109;7.8;2.3;0.216;5.8;0.4;6.1;4.6;22.9;2.4;12;7.2;29.9;2;0.7;13.8;24.9;G;lowryky01
18;Mike Conley;10;2016-17;29;MEM;69;68;0;10;121;108;7.5;2.5;0.209;6;0.8;6.8;5.1;23.2;1.5;10.8;6;34.5;2.1;0.8;11.8;26.3;G;conlemi01
19;Nikola Jokić;9.7;2016-17;21;DEN;73;59;0;9.7;126;109;7.7;2;0.228;5.9;1.4;7.3;4.8;26.3;11.6;27.2;19.5;28.8;1.5;2.1;15.2;23.5;C-F;jokicni01
20;Hassan Whiteside;9.5;2016-17;27;MIA;77;77;0;9.5;113;100;4.2;5.3;0.181;0.9;0.5;1.5;2.2;22.6;12.8;35.3;24;3.8;1.1;5;12;22.7;C;whiteha01
21;Otto Porter Jr.;9.4;2016-17;23;WAS;80;80;0;9.4;129;108;6.4;3;0.173;2.4;0.9;3.3;3.5;17.3;5.1;17.1;11.1;6.7;2.2;1.3;4.9;15.1;F;porteot01
22;DeMar DeRozan;9;2016-17;27;TOR;74;74;1;9;113;110;6.7;2.4;0.166;4.1;-1;3;3.3;24;3;13.6;8.3;20.6;1.5;0.4;9;34.3;G-F;derozde01
23;Kyrie Irving;8.9;2016-17;24;CLE;72;72;1;8.9;116;112;7.4;1.5;0.17;4.7;-1.3;3.4;3.4;23;2.3;7.5;5;29.7;1.6;0.8;10.3;30.8;G;irvinky01
24;John Wall;8.8;2016-17;26;WAS;78;78;1;8.8;111;108;5.8;3;0.149;4.6;0.1;4.7;4.8;23.2;2.4;10.6;6.5;46.9;2.7;1.4;16.2;30.6;G;walljo01
25;Bradley Beal;8.5;2016-17;23;WAS;77;77;0;8.5;117;112;6.9;1.6;0.152;4.2;-1;3.3;3.5;20.1;2.2;7.8;5;16.2;1.5;0.7;9.6;26.5;G;bealbr01
26;Dwight Howard;8.3;2016-17;31;ATL;74;74;0;8.3;115;100;3.8;4.5;0.181;0.6;0.8;1.4;1.9;20.8;15;31.7;23.5;7.8;1.4;3.6;17.5;19.2;C;howardw01
27;Draymond Green;8.2;2016-17;26;GSW;76;76;1;8.2;111;99;2.8;5.4;0.16;1;3.9;4.9;4.3;16.5;4.7;20.9;13.3;27.6;3;3.4;19.8;16.2;F;greendr01
28;Kemba Walker;8.1;2016-17;26;CHO;79;79;1;8.1;113;111;5.9;2.2;0.142;4.9;-0.8;4.1;4.2;21.3;1.8;10.6;6.2;29.1;1.6;0.7;9.5;29.2;G;walkeke02
29;Jeff Teague;8.1;2016-17;28;IND;82;82;0;8.1;115;110;5.7;2.4;0.146;2.3;-0.1;2.2;2.8;19.2;1.4;12.4;7;36.4;1.9;1.1;16.5;22.1;G;teaguje01
30;Myles Turner;8;2016-17;20;IND;81;81;0;8;115;105;4.3;3.7;0.151;-0.1;1.1;1.1;2;18.5;6.2;19.6;13;6.6;1.5;5.9;9.5;19.5;C-F;turnemy01
31;Jonas Valančiūnas;7.9;2016-17;24;TOR;80;80;0;7.9;120;105;4.9;3;0.183;1.1;-0.8;0.3;1.2;20.1;12.4;29.1;20.8;4.4;0.9;2.6;11.7;19.5;C;valanjo01
32;Blake Griffin;7.7;2016-17;27;LAC;61;61;0;7.7;115;108;5.4;2.4;0.179;4.2;0.5;4.7;3.5;22.6;6.2;20.2;13.4;24.5;1.4;0.9;10.9;28;F-C;griffbl01
33;Marc Gasol;7.7;2016-17;32;MEM;74;74;1;7.7;111;106;4.2;3.5;0.145;3.8;1.4;5.2;4.6;20.3;2.6;18.8;10.5;24.8;1.4;3.7;11.3;26.4;C;gasolma01
34;DeMarcus Cousins;7.6;2016-17;26;NOPSAC;72;72;1;7.6;107;105;3.9;3.8;0.149;5;1.8;6.8;5.5;25.8;7;29.2;18.2;25.8;2;3.4;13.5;36.5;C-F;couside01
35;CJ McCollum;7.6;2016-17;25;POR;80;80;0;7.6;114;113;6.2;1.4;0.131;3.4;-1.4;2;2.8;19.9;2.4;9.1;5.7;18;1.3;1.2;9.9;27.5;G;mccolcj01
36;Goran Dragić;7.5;2016-17;30;MIA;73;73;0;7.5;112;109;5;2.6;0.147;2.7;-0.1;2.6;2.9;19.8;2.8;9.9;6.3;29;1.8;0.4;14.1;27.1;G;dragigo01
37;Tristan Thompson;7.3;2016-17;25;CLE;78;78;0;7.3;128;109;5;2.3;0.149;0;-0.7;-0.7;0.7;15.3;13.9;19.6;16.9;4.6;0.8;2.9;10.8;11.3;F-C;thomptr01
