;;;;;;;;;;;;;;Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
;;;;;;;;;;;;;;1;Nikola Jokić;15.2;2021-22;26;DEN;74;74;1;15.2;126;105;10.8;4.5;0.296;9.2;4.5;13.7;9.8;32.8;9.6;35.5;23;42.6;2.2;2.3;15.6;31.9;C-F;jokicni01
;;;;;;;;;;;;;;2;Giannis Antetokounmpo;12.9;2021-22;27;MIL;67;67;1;12.9;124;106;9.2;3.7;0.281;7.6;3.5;11.2;7.4;32.1;6.6;30.4;18.7;31.7;1.6;4;12.2;34.9;F-G;antetgi01
;;;;;;;;;;;;;;3;Joel Embiid;12;2021-22;27;PHI;68;68;1;12;119;105;7.9;4.1;0.252;7.2;2;9.2;6.5;31.2;7.2;31.1;19.4;23.5;1.7;3.9;11.3;37.2;C;embiijo01
;;;;;;;;;;;;;;4;Rudy Gobert;11.7;2021-22;29;UTA;66;66;1;11.7;137;103;7.3;4.3;0.264;2.9;1.7;4.6;3.6;24.7;12.9;36.3;25;5.1;1;5.7;14.5;16.9;C;goberru01
;;;;;;;;;;;;;;5;Karl-Anthony Towns;10.3;2021-22;26;MIN;74;74;1;10.3;121;110;7.1;3.2;0.199;4.5;0.5;5;4.4;24.1;8.2;23.6;15.7;18;1.4;3.2;13.7;27.8;C-F;townska01
;;;;;;;;;;;;;;6;Trae Young;10;2021-22;23;ATL;76;76;1;10;119;118;9;1;0.181;7.1;-2;5.2;4.8;25.4;2.1;9.6;5.9;46.7;1.3;0.2;14.5;34.4;G;youngtr01
;;;;;;;;;;;;;;7;Robert Williams;9.9;2021-22;24;BOS;61;61;0;9.9;148;102;6;3.9;0.262;2.4;3.1;5.5;3.4;22.1;14.6;20.5;17.6;9.7;1.5;6.8;13.4;11.5;C-F;williro04
;;;;;;;;;;;;;;8;Jayson Tatum;9.6;2021-22;23;BOS;76;76;1;9.6;113;106;5;4.6;0.169;4.3;0.6;5;4.8;21.8;3.5;20.2;12.1;21.1;1.4;1.6;10.9;32.1;F;tatumja01
;;;;;;;;;;;;;;9;Chris Paul;9.4;2021-22;36;PHO;65;65;1;9.4;124;107;5.8;3.6;0.21;3.1;2.3;5.4;4;20.8;1.1;12.8;7.1;44.5;2.7;0.8;15.6;19.7;G;paulch01
;;;;;;;;;;;;;;10;Jimmy Butler;9.2;2021-22;32;MIA;57;57;1;9.2;124;108;6.2;2.9;0.228;4.5;1.9;6.3;4;23.6;6.1;13.5;9.9;26.4;2.4;1.5;10.5;26.5;F-G;butleji01
