;;;;;;Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
;;;;;;1;Nikola Jokić;14.9;2022-23;27;DEN;69;69;1;14.9;134;110;11.2;3.8;0.308;8.5;4.5;13;8.8;31.5;8.5;31.3;20.2;46.6;1.8;1.8;17;27.2;C-F;jokicni01
;;;;;;2;Domantas Sabonis;12.6;2022-23;26;SAC;79;79;1;12.6;132;114;9.6;3;0.221;4.1;1.8;5.8;5.4;23.5;10.6;30;20.3;30.4;1.1;1.2;16.9;21.3;C-F;sabondo01
;;;;;;3;Jimmy Butler;12.3;2022-23;33;MIA;64;64;0;12.3;135;112;9.4;2.9;0.277;6.7;2;8.7;5.8;27.6;7.5;13.3;10.3;27.1;2.7;1;8.2;25.6;F-G;butleji01
;;;;;;4;Joel Embiid;12.3;2022-23;28;PHI;66;66;1;12.3;124;109;8.4;3.9;0.259;6.8;2.3;9.2;6.4;31.4;5.9;28.3;17.3;22.9;1.4;4.6;11.9;37;C;embiijo01
;;;;;;5;Shai Gilgeous-Alexander;11.4;2022-23;24;OKC;68;68;1;11.4;125;113;8.4;3;0.226;5.7;1.5;7.3;5.6;27.2;2.6;12.2;7.3;25.7;2.2;2.5;10.1;32.8;G;gilgesh01
;;;;;;6;Jayson Tatum;10.5;2022-23;24;BOS;74;74;1;10.5;118;110;6.2;4.3;0.185;4.8;0.7;5.5;5.1;23.7;3.2;22.5;13;20.9;1.4;1.6;10.4;32.7;F;tatumja01
;;;;;;7;Luka Dončić;10.2;2022-23;23;DAL;66;66;1;10.2;120;113;7.3;2.9;0.204;7.6;1.4;8.9;6.6;28.7;2.6;25.4;13.8;42.3;1.9;1.2;11.9;37.6;G-F;doncilu01
;;;;;;8;Jarrett Allen;9.5;2022-23;24;CLE;68;68;0;9.5;132;108;5.5;4;0.205;1.3;1;2.4;2.4;19.9;11.7;23.6;17.7;7.5;1.2;3.5;11.4;16.4;C-F;allenja01
;;;;;;9;Nic Claxton;9.2;2022-23;23;BRK;76;76;0;9.2;132;108;5.2;4;0.195;0.9;2.2;3.1;2.9;20.8;9.3;25.1;17.4;9.3;1.4;7.1;12.1;15.4;C;claxtni01
;;;;;;10;Damian Lillard;9;2022-23;32;POR;58;58;1;9;126;121;8.2;0.8;0.205;8.3;-1.2;7.1;4.9;26.7;2.4;12.8;7.6;35;1.2;0.8;11.7;33.8;G;lillada01
;;;;;;11;Anthony Davis;9;2022-23;29;LAL;56;54;0;9;124;108;5.5;3.4;0.226;4.6;1.7;6.3;4;27.8;11.3;27.6;19.7;13;1.5;5.1;9.5;28.4;F-C;davisan02
;;;;;;12;Donovan Mitchell;8.9;2022-23;26;CLE;68;68;1;8.9;118;111;5.4;3.5;0.176;5.6;0.6;6.3;5;22.9;3.1;10.9;7;21.4;2;1;10.3;32.1;G;mitchdo01
;;;;;;13;Jalen Brunson;8.7;2022-23;26;NYK;68;68;0;8.7;125;117;6.9;1.8;0.175;4.4;-0.5;3.9;3.5;21.2;1.8;9.3;5.6;28.7;1.3;0.6;9.4;27.2;G;brunsja01
;;;;;;14;Kevon Looney;8.7;2022-23;26;GSW;82;70;0;8.7;147;111;5.9;2.8;0.212;0.9;1.3;2.1;2;17.8;15.7;26.8;21.4;13.8;1.3;2.2;9.1;10.6;F-C;looneke01
;;;;;;15;Giannis Antetokounmpo;8.6;2022-23;28;MIL;63;63;1;8.6;117;108;4.9;3.7;0.204;5.8;2.7;8.5;5.4;29;7.3;30;19.1;33.2;1.2;2.1;13.2;38.8;F-G;antetgi01
;;;;;;16;DeMar DeRozan;8.5;2022-23;33;CHI;74;74;1;8.5;119;113;5.4;3.2;0.153;1.7;0.3;2;2.6;20.6;1.5;12.8;7.2;22.3;1.5;1.3;9.1;27.8;G-F;derozde01
;;;;;;17;Evan Mobley;8.5;2022-23;21;CLE;79;79;0;8.5;117;108;3.7;4.8;0.151;0;1.6;1.7;2.5;17.9;8.1;22.7;15.4;12.4;1.1;4;11.9;20.2;F-C;mobleev01
;;;;;;18;James Harden;8.4;2022-23;33;PHI;58;58;0;8.4;123;113;5.8;2.6;0.188;5.1;0.3;5.4;4;21.6;2.3;17.1;9.8;43.3;1.6;1.4;16.3;25;G;hardeja01
;;;;;;19;Nikola Vučević;8.3;2022-23;32;CHI;82;82;0;8.3;117;110;3.9;4.4;0.145;1.9;0.7;2.7;3.2;19.1;6.7;30.2;18.6;14.6;1.1;2;10.2;21.9;C;vucevni01
;;;;;;20;Lauri Markkanen;8.2;2022-23;25;UTA;66;66;1;8.2;125;116;6.3;1.9;0.173;4.9;-1;3.8;3.3;22.1;6.3;20.7;13.6;8.6;0.9;1.4;8.8;26.6;F-C;markkla01
;;;;;;21;Julius Randle;8.1;2022-23;28;NYK;77;77;1;8.1;117;114;5;3.1;0.142;3.9;-0.2;3.7;3.9;20.3;5.6;25.2;15.4;18.5;0.9;0.7;11.5;29.5;F-C;randlju01
;;;;;;22;Brook Lopez;8;2022-23;34;MIL;78;78;0;8;122;109;4.1;3.9;0.161;0.8;1.3;2.1;2.5;18.4;7.2;15.3;11.4;6.1;0.7;6.7;9.8;19.3;C;lopezbr01
;;;;;;23;Mason Plumlee;7.9;2022-23;32;CHOLAC;79;60;0;7.9;134;114;5.5;2.4;0.185;1.2;1;2.2;2.2;19.6;11.8;25.1;18.4;17.3;1.1;2;15.8;15.2;C-F;plumlma01
;;;;;;24;Rudy Gobert;7.8;2022-23;30;MIN;70;70;0;7.8;127;109;4.3;3.5;0.174;0;0.7;0.7;1.4;18.9;12.2;29.8;21.2;5.6;1.2;3.9;14.9;16.3;C;goberru01
;;;;;;25;Stephen Curry;7.8;2022-23;34;GSW;56;56;1;7.8;123;115;5.8;2;0.192;7.5;0.1;7.5;4.7;24.1;2.3;16.8;9.7;30;1.3;0.9;12.5;31;G;curryst01
;;;;;;26;Pascal Siakam;7.8;2022-23;28;TOR;71;71;1;7.8;118;115;5.2;2.6;0.141;3.3;-0.1;3.1;3.4;20.3;5.2;19.6;11.9;24.9;1.2;1.3;10;27.2;F-C;siakapa01
;;;;;;27;Kristaps Porziņģis;7.7;2022-23;27;WAS;65;65;0;7.7;121;113;5;2.7;0.174;3.8;0.5;4.3;3.4;23.1;6.2;21.8;14.3;12.9;1.3;4;10.2;27.4;F-C;porzikr01
;;;;;;28;Tyrese Haliburton;7.6;2022-23;22;IND;56;56;1;7.6;129;118;6.4;1.2;0.195;7;0.2;7.2;4.4;23.6;1.9;10.1;6;47.6;2.3;1.1;13.2;23.8;G;halibty01
;;;;;;29;Trey Murphy III;7.6;2022-23;22;NOP;79;65;0;7.6;128;114;4.8;2.8;0.15;1.4;0.4;1.8;2.3;15.2;2.7;10.3;6.5;6.4;1.8;1.7;6.5;16.6;F;murphtr02
;;;;;;30;Darius Garland;7.6;2022-23;23;CLE;69;69;0;7.6;118;113;4.5;3;0.148;3.2;-0.7;2.4;2.7;18.8;1.3;7.6;4.5;34.1;1.7;0.3;13.5;26.9;G;garlada01
;;;;;;31;Mikal Bridges;7.5;2022-23;26;BRKPHO;83;83;0;7.5;118;115;4.4;3.1;0.121;1.5;0.2;1.7;2.8;16.8;2.9;10.8;6.8;13.7;1.5;1.8;8.2;22.6;F-G;bridgmi01
;;;;;;32;Kyrie Irving;7.4;2022-23;30;BRKDAL;60;60;1;7.4;121;116;5.4;2;0.159;4.8;-0.7;4.1;3.5;22.4;3;12.3;7.7;25.4;1.4;1.7;8.8;28.9;G;irvinky01
;;;;;;33;Derrick White;7.4;2022-23;28;BOS;82;70;0;7.4;124;112;4.4;3.1;0.154;1.1;1.3;2.4;2.6;15.4;2.5;11.2;6.9;19.4;1.1;2.8;10.1;17.7;G;whitede01
;;;;;;34;Bam Adebayo;7.4;2022-23;25;MIA;75;75;1;7.4;115;111;3.6;3.8;0.137;0.8;0.8;1.5;2.3;20.1;8;23.6;15.5;15.9;1.7;2.4;12.7;25.2;C-F;adebaba01
;;;;;;35;De'Aaron Fox;7.4;2022-23;25;SAC;73;73;1;7.4;119;117;5.5;1.8;0.146;3.4;-0.9;2.5;2.7;21.8;1.9;12.4;7.2;29.6;1.6;0.8;10.6;30.1;G;foxde01
