Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;-9999
1;Giannis Antetokounmpo;25;MIL;85;962;1010;0.952;63;30.4;29.5;13.6;5.6;1;1;0.553;0.304;0.633;11.1;0.279;antetgi01
2;LeBron James;35;LAL;16;753;1010;0.746;67;34.6;25.3;7.8;10.2;1.2;0.5;0.493;0.348;0.693;9.8;0.204;jamesle01
3;James Harden;30;HOU;0;367;1010;0.363;68;36.5;34.3;6.6;7.5;1.8;0.9;0.444;0.355;0.865;13.1;0.254;hardeja01
4;Luka Dončić;20;DAL;0;200;1010;0.198;61;33.6;28.8;9.4;8.8;1;0.2;0.463;0.316;0.758;8.8;0.207;doncilu01
5;Kawhi Leonard;28;LAC;0;168;1010;0.166;57;32.4;27.1;7.1;4.9;1.8;0.6;0.47;0.378;0.886;8.7;0.226;leonaka01
6;Anthony Davis;26;LAL;0;82;1010;0.081;62;34.4;26.1;9.3;3.2;1.5;2.3;0.503;0.33;0.846;11.1;0.25;davisan02
7;Chris Paul;34;OKC;0;26;1010;0.026;70;31.5;17.6;5;6.7;1.6;0.2;0.489;0.365;0.907;8.9;0.193;paulch01
8;Damian Lillard;29;POR;0;23;1010;0.023;66;37.5;30;4.3;8;1.1;0.3;0.463;0.401;0.888;11.6;0.225;lillada01
9;Nikola Jokić;24;DEN;0;18;1010;0.018;73;32;19.9;9.7;7;1.2;0.6;0.528;0.314;0.817;9.8;0.202;jokicni01
10;Pascal Siakam;25;TOR;0;17;1010;0.017;60;35.2;22.9;7.3;3.5;1;0.9;0.453;0.359;0.792;5.4;0.123;siakapa01
11;Jimmy Butler;30;MIA;0;9;1010;0.009;58;33.8;19.9;6.7;6;1.8;0.6;0.455;0.244;0.834;9;0.221;butleji01
12;Jayson Tatum;21;BOS;0;1;1010;0.001;66;34.3;23.4;7;3;1.4;0.9;0.45;0.403;0.812;6.9;0.146;tatumja01
