Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;James Harden;34.3;2019-20;30;HOU;68;68;1;2483;672;1514;373;671;299;843;692;800;70;376;446;512;125;60;308;227;2335;0.444;0.556;0.355;0.865;0.626;0.543;G;hardeja01
2;Bradley Beal;30.5;2019-20;26;WAS;57;57;0;2053;593;1303;423;822;170;481;385;457;52;190;242;347;71;23;194;126;1741;0.455;0.515;0.353;0.842;0.579;0.52;G;bealbr01
3;Damian Lillard;30;2019-20;29;POR;66;66;1;2474;624;1349;354;675;270;674;460;518;33;251;284;530;70;22;194;114;1978;0.463;0.524;0.401;0.888;0.627;0.563;G;lillada01
4;Trae Young;29.6;2019-20;21;ATL;60;60;1;2120;546;1249;341;681;205;568;481;559;32;223;255;560;65;8;289;104;1778;0.437;0.501;0.361;0.86;0.595;0.519;G;youngtr01
5;Giannis Antetokounmpo;29.5;2019-20;25;MIL;63;63;1;1917;685;1238;596;945;89;293;398;629;140;716;856;354;61;66;230;195;1857;0.553;0.631;0.304;0.633;0.613;0.589;F-G;antetgi01
6;Luka Dončić;28.8;2019-20;20;DAL;61;61;1;2047;581;1255;410;714;171;541;426;562;78;495;573;538;62;14;260;153;1759;0.463;0.574;0.316;0.758;0.585;0.531;G-F;doncilu01
7;Kyrie Irving;27.4;2019-20;27;BRK;20;20;0;658;199;416;143;274;56;142;94;102;22;81;103;128;27;10;52;53;548;0.478;0.522;0.394;0.922;0.595;0.546;G;irvinky01
8;Russell Westbrook;27.2;2019-20;31;HOU;57;57;1;2049;604;1281;549;1068;55;213;290;380;100;351;451;401;93;20;255;200;1553;0.472;0.514;0.258;0.763;0.536;0.493;G;westbru01
9;Kawhi Leonard;27.1;2019-20;28;LAC;57;57;1;1848;532;1133;409;808;123;325;356;402;54;348;402;280;103;33;149;113;1543;0.47;0.506;0.378;0.886;0.589;0.524;F;leonaka01
10;Devin Booker;26.6;2019-20;23;PHO;70;70;1;2512;627;1283;486;885;141;398;468;509;29;268;297;456;49;18;264;213;1863;0.489;0.549;0.354;0.919;0.618;0.544;G;bookede01
