Rk;Season;Team;W;G;W;L;W/L%
1;2016-17;GSW;67;82;67;15;0.817
2;2016-17;SAS;61;82;61;21;0.744
3;2016-17;HOU;55;82;55;27;0.671
4;2016-17;BOS;53;82;53;29;0.646
5;2016-17;UTA;51;82;51;31;0.622
6;2016-17;TOR;51;82;51;31;0.622
7;2016-17;CLE;51;82;51;31;0.622
8;2016-17;LAC;51;82;51;31;0.622
9;2016-17;WAS;49;82;49;33;0.598
10;2016-17;OKC;47;82;47;35;0.573
11;2016-17;ATL;43;82;43;39;0.524
12;2016-17;MEM;43;82;43;39;0.524
13;2016-17;IND;42;82;42;40;0.512
14;2016-17;MIL;42;82;42;40;0.512
15;2016-17;MIA;41;82;41;41;0.5
16;2016-17;POR;41;82;41;41;0.5
17;2016-17;CHI;41;82;41;41;0.5
18;2016-17;DEN;40;82;40;42;0.488
19;2016-17;DET;37;82;37;45;0.451
20;2016-17;CHO;36;82;36;46;0.439
21;2016-17;NOP;34;82;34;48;0.415
22;2016-17;DAL;33;82;33;49;0.402
23;2016-17;SAC;32;82;32;50;0.39
24;2016-17;MIN;31;82;31;51;0.378
25;2016-17;NYK;31;82;31;51;0.378
26;2016-17;ORL;29;82;29;53;0.354
27;2016-17;PHI;28;82;28;54;0.341
28;2016-17;LAL;26;82;26;56;0.317
29;2016-17;PHO;24;82;24;58;0.293
30;2016-17;BRK;20;82;20;62;0.244
