Rk;Season;Team;G;W;L;W/L%
1;2022-23;WAS;82;35;47;0.427
2;2022-23;UTA;82;37;45;0.451
3;2022-23;TOR;82;41;41;0.5
4;2022-23;SAS;82;22;60;0.268
5;2022-23;SAC;82;48;34;0.585
6;2022-23;POR;82;33;49;0.402
7;2022-23;PHO;82;45;37;0.549
8;2022-23;PHI;82;54;28;0.659
9;2022-23;ORL;82;34;48;0.415
10;2022-23;OKC;82;40;42;0.488
11;2022-23;NYK;82;47;35;0.573
12;2022-23;NOP;82;42;40;0.512
13;2022-23;MIN;82;42;40;0.512
14;2022-23;MIL;82;58;24;0.707
15;2022-23;MIA;82;44;38;0.537
16;2022-23;MEM;82;51;31;0.622
17;2022-23;LAL;82;43;39;0.524
18;2022-23;LAC;82;44;38;0.537
19;2022-23;IND;82;35;47;0.427
20;2022-23;HOU;82;22;60;0.268
21;2022-23;GSW;82;44;38;0.537
22;2022-23;DET;82;17;65;0.207
23;2022-23;DEN;82;53;29;0.646
24;2022-23;DAL;82;38;44;0.463
25;2022-23;CLE;82;51;31;0.622
26;2022-23;CHO;82;27;55;0.329
27;2022-23;CHI;82;40;42;0.488
28;2022-23;BRK;82;45;37;0.549
29;2022-23;BOS;82;57;25;0.695
30;2022-23;ATL;82;41;41;0.5
