Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;James Harden;15.2;2018-19;29;HOU;78;78;1;2867;843;1909;465;881;378;1028;754;858;66;452;518;586;158;58;387;244;2818;0.442;0.528;0.368;0.879;0.616;0.541;G;hardeja01
2;Rudy Gobert;14.4;2018-19;26;UTA;81;80;0;2577;476;712;476;712;0;0;332;522;309;732;1041;161;66;187;130;231;1284;0.669;0.669;;0.636;0.682;0.669;C;goberru01
3;Giannis Antetokounmpo;14.4;2018-19;24;MIL;72;72;1;2358;721;1247;669;1044;52;203;500;686;159;739;898;424;92;110;268;232;1994;0.578;0.641;0.256;0.729;0.644;0.599;F-G;antetgi01
4;Damian Lillard;12.1;2018-19;28;POR;80;80;1;2838;681;1533;444;890;237;643;468;513;68;303;371;551;88;34;212;148;2067;0.444;0.499;0.369;0.912;0.588;0.522;G;lillada01
5;Paul George;11.9;2018-19;28;OKC;77;77;1;2841;707;1614;415;857;292;757;453;540;105;523;628;318;170;34;205;214;2159;0.438;0.484;0.386;0.839;0.583;0.529;F-G;georgpa01
6;Nikola Jokić;11.8;2018-19;23;DEN;80;80;1;2504;616;1206;533;936;83;270;289;352;228;637;865;580;108;55;248;228;1604;0.511;0.569;0.307;0.821;0.589;0.545;C-F;jokicni01
7;Kevin Durant;11.5;2018-19;30;GSW;78;78;1;2702;721;1383;584;995;137;388;448;506;33;464;497;457;58;84;225;155;2027;0.521;0.587;0.353;0.885;0.631;0.571;F-G;duranke01
8;Clint Capela;10.8;2018-19;24;HOU;67;67;0;2249;474;732;474;732;0;0;166;261;298;550;848;96;44;102;94;168;1114;0.648;0.648;;0.636;0.658;0.648;C;capelca01
9;Karl-Anthony Towns;10.4;2018-19;23;MIN;77;77;1;2545;681;1314;539;959;142;355;376;450;263;691;954;259;67;125;240;292;1880;0.518;0.562;0.4;0.836;0.622;0.572;C-F;townska01
10;Nikola Vučević;10.1;2018-19;28;ORL;80;80;1;2510;701;1354;617;1123;84;231;179;227;224;736;960;307;81;89;159;157;1665;0.518;0.549;0.364;0.789;0.573;0.549;C;vucevni01
11;Andre Drummond;10;2018-19;25;DET;79;79;0;2647;561;1052;556;1014;5;38;243;412;423;809;1232;112;136;138;175;272;1370;0.533;0.548;0.132;0.59;0.555;0.536;C;drumman01
12;Stephen Curry;9.7;2018-19;30;GSW;69;69;1;2331;632;1340;278;530;354;810;263;287;45;324;369;361;92;25;192;166;1881;0.472;0.525;0.437;0.916;0.641;0.604;G;curryst01
13;Kawhi Leonard;9.5;2018-19;27;TOR;60;60;1;2040;560;1129;448;827;112;302;364;426;78;361;439;199;106;24;121;87;1596;0.496;0.542;0.371;0.854;0.606;0.546;F;leonaka01
