Player,Team,Season,PPG,RPG,APG,WinPct,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier
James Harden,HOU,18/19,36.1,6.6,7.5,0.646,15.2,0,118,108,30.6,11.0,40.5,9.3,True
Rudy Gobert,UTA,18/19,15.9,12.9,2.0,0.61,14.4,0,133,100,24.6,5.4,17.8,4.8,True
Giannis Antetokounmpo,MIL,18/19,27.7,12.5,5.9,0.732,14.4,1,121,99,30.9,10.4,32.3,7.4,False
Damian Lillard,POR,18/19,25.8,4.6,6.9,0.646,12.1,0,121,112,23.7,6.4,29.3,6.0,True
Paul George,OKC,18/19,28.0,8.2,4.1,0.598,11.9,0,116,105,23.3,7.2,29.5,6.6,True
Nikola Jokić,DEN,18/19,20.0,10.8,7.2,0.659,11.8,0,119,105,26.3,9.1,27.4,7.0,True
Kevin Durant,GSW,18/19,26.0,6.4,5.9,0.695,11.5,0,121,110,24.2,5.5,29.0,5.1,True
Clint Capela,HOU,18/19,16.6,12.7,1.4,0.646,10.8,0,133,108,23.8,3.0,18.2,2.8,True
Karl-Anthony Towns,MIN,18/19,24.4,12.4,3.4,0.439,10.4,0,118,108,26.3,6.0,28.9,5.1,True
Nikola Vučević,ORL,18/19,20.8,12.0,3.8,0.512,10.1,0,115,103,25.5,6.6,28.0,5.5,True
Andre Drummond,DET,18/19,17.3,15.6,1.4,0.5,10.0,0,113,100,23.4,2.1,22.9,2.7,True
Stephen Curry,GSW,18/19,27.3,5.3,5.2,0.695,9.7,0,120,110,24.4,6.6,30.4,5.1,True
Kawhi Leonard,TOR,18/19,26.6,7.3,3.3,0.707,9.5,0,119,105,25.8,7.2,30.3,4.7,True
Anthony Davis,NOP,18/19,25.9,12.0,3.9,0.402,9.5,0,122,105,30.3,9.4,29.5,5.3,True
LaMarcus Aldridge,SAS,18/19,21.3,9.2,2.4,0.585,9.3,0,117,110,22.9,1.8,26.9,2.6,False
Pascal Siakam,TOR,18/19,16.9,6.9,3.1,0.707,9.3,0,120,107,18.7,2.4,20.8,2.8,False
Kyrie Irving,BOS,18/19,23.8,5.0,6.9,0.598,9.1,0,118,108,24.3,7.2,29.6,5.1,True
Steven Adams,OKC,18/19,13.8,9.5,1.6,0.598,9.1,0,120,106,18.5,1.1,16.4,2.1,False
Joel Embiid,PHI,18/19,27.5,13.6,3.7,0.622,8.7,0,114,104,26.1,4.9,33.3,3.8,True
Montrezl Harrell,LAC,18/19,16.6,6.5,2.0,0.585,8.7,0,122,109,23.4,3.3,23.5,2.9,False
Ben Simmons,PHI,18/19,16.9,8.8,7.7,0.622,8.2,0,114,108,20.0,3.6,22.1,3.8,True
Eric Bledsoe,MIL,18/19,15.9,4.6,5.5,0.732,8.2,0,116,105,19.3,3.1,22.9,2.9,False
Danilo Gallinari,LAC,18/19,19.8,6.1,2.6,0.585,8.2,0,125,112,21.0,4.3,23.8,3.3,False
Mike Conley,MEM,18/19,21.1,3.4,6.4,0.402,8.0,0,117,111,21.4,4.7,27.3,3.9,False
Blake Griffin,DET,18/19,24.5,7.5,5.4,0.5,8.0,0,113,110,21.0,5.1,30.2,4.7,True
Derrick Favors,UTA,18/19,11.8,7.4,1.2,0.61,7.9,0,124,103,21.8,3.3,19.4,2.4,False
Jusuf Nurkić,POR,18/19,15.6,10.4,3.2,0.646,7.8,0,116,105,23.4,3.7,24.7,2.8,False
Jarrett Allen,BRK,18/19,10.9,8.4,1.4,0.512,7.6,0,123,106,18.5,1.6,15.9,1.9,False
Bradley Beal,WAS,18/19,25.6,5.0,5.5,0.39,7.6,0,113,114,20.8,2.9,28.4,3.7,False
Domantas Sabonis,IND,18/19,14.1,9.3,2.9,0.585,7.6,0,118,104,21.9,3.1,23.5,2.4,False
Dwight Powell,DAL,18/19,10.6,5.3,1.5,0.402,7.5,0,135,110,20.4,2.9,17.2,2.1,True
Al Horford,BOS,18/19,13.6,6.7,4.2,0.598,7.5,0,122,107,20.2,5.1,18.9,3.6,False
Kemba Walker,CHA,18/19,25.6,4.4,5.9,0.476,7.4,0,112,114,21.7,4.2,31.5,4.4,False
Jerami Grant,OKC,18/19,13.6,5.2,1.0,0.598,7.3,0,119,108,13.8,0.2,15.4,1.5,False
LeBron James,LAL,18/19,27.4,8.5,8.3,0.451,7.2,0,114,108,25.6,8.0,31.6,4.9,True
D.J. Augustin,ORL,18/19,11.7,2.5,5.3,0.512,6.9,0,122,112,15.7,0.5,17.2,1.4,False
Thaddeus Young,IND,18/19,12.6,6.5,2.5,0.585,6.9,0,113,106,16.2,1.5,18.0,2.2,False
Darren Collison,IND,18/19,11.2,3.1,6.0,0.585,6.8,0,118,108,16.7,1.8,17.7,2.1,False
Bam Adebayo,MIA,18/19,8.9,7.3,2.2,0.476,6.8,0,120,104,17.9,1.8,15.8,1.8,False
Russell Westbrook,OKC,18/19,22.9,11.1,10.7,0.598,6.8,0,105,103,21.1,5.2,30.9,4.7,True
