Player,Team,Season,PPG,RPG,APG,Win%,MVP
Nikola Jokić,DEN,23/24,26.4,12.4,9,0.695,1
Shai Gilgeous-Alexander,OKC,23/24,30.1,5.5,6.2,0.695,0
Luka Dončić,DAL,23/24,33.9,9.2,9.8,0.61,0
Giannis Antetokounmpo,MIL,23/24,30.4,11.5,6.5,0.598,0
Jalen Brunson,NYK,23/24,28.7,3.6,6.7,0.61,0
Jayson Tatum,BOS,23/24,26.9,8.1,4.9,0.78,0
Anthony Edwards,MIN,23/24,25.9,5.4,5.1,0.683,0
Domantas Sabonis,SAC,23/24,19.4,13.7,8.2,0.561,0
Kevin Durant,PHO,23/24,27.1,6.6,5,0.598,0
Player,TM,18/19,PTS,TRB,AST,,0
Giannis Antetokounmpo,MIL,18/19,27.7,12.5,5.9,0.732,1
James Harden,HOU,18/19,36.1,6.6,7.5,0.646,0
Paul George,OKC,18/19,28,8.2,4.1,0.598,0
Nikola Jokić,DEN,18/19,20.1,10.8,7.3,0.659,0
Stephen Curry,GSW,18/19,27.3,5.3,5.2,0.695,0
Damian Lillard,POR,18/19,25.8,4.6,6.9,0.646,0
Joel Embiid,PHI,18/19,27.5,13.6,3.7,0.622,0
Kevin Durant,GSW,18/19,26,6.4,5.9,0.695,0
Kawhi Leonard,TOR,18/19,26.6,7.3,3.3,0.707,0
Russell Westbrook,OKC,18/19,22.9,11.1,10.7,0.598,0
Rudy Gobert,UTA,18/19,15.9,12.9,2,0.61,0
LeBron James,LAL,18/19,27.4,8.5,8.3,0.451,0
Player,TM,14/15,PTS,TRB,AST,,0
Stephen Curry,GSW,14/15,23.8,4.3,7.7,0.817,1
James Harden,HOU,14/15,27.4,5.7,7,0.683,0
LeBron James,CLE,14/15,25.3,6,7.4,0.646,0
Russell Westbrook,OKC,14/15,28.1,7.3,8.6,0.549,0
Anthony Davis,NOP,14/15,24.4,10.2,2.2,0.549,0
Chris Paul,LAC,14/15,19.1,4.6,10.2,0.683,0
LaMarcus Aldridge,POR,14/15,23.4,10.2,1.7,0.622,0
Marc Gasol,MEM,14/15,17.4,7.8,3.8,0.671,0
Blake Griffin,LAC,14/15,21.9,7.6,5.3,0.683,0
Tim Duncan,SAS,14/15,13.9,9.1,3,0.671,0
Kawhi Leonard,SAS,14/15,16.5,7.2,2.5,0.671,0
Klay Thompson,GSW,14/15,21.7,3.2,2.9,0.817,0
Player,TM,22/23,PTS,TRB,AST,,0
Joel Embiid,PHI,22/23,33.1,10.2,4.2,0.659,1
Nikola Jokić,DEN,22/23,24.5,11.8,9.8,0.646,0
Giannis Antetokounmpo,MIL,22/23,31.1,11.8,5.7,0.707,0
Jayson Tatum,BOS,22/23,30.1,8.8,4.6,0.695,0
Shai Gilgeous-Alexander,OKC,22/23,31.4,4.8,5.5,0.488,0
Donovan Mitchell,CLE,22/23,28.3,4.3,4.4,0.622,0
Domantas Sabonis,SAC,22/23,19.1,12.3,7.3,0.585,0
Luka Dončić,DAL,22/23,32.4,8.6,8,0.463,0
Stephen Curry,GSW,22/23,29.4,6.1,6.3,0.537,0
Jimmy Butler,MIA,22/23,22.9,5.9,5.3,0.537,0
De'Aaron Fox,SAC,22/23,25,4.2,6.1,0.585,0
LeBron James,MIA,11/12,27.1,7.9,6.2,0.697,1
Kevin Durant,OKC,11/12,28.0,8.0,3.5,0.712,0
Chris Paul,LAC,11/12,19.8,3.6,9.1,0.606,0
Kobe Bryant,LAL,11/12,27.9,5.4,4.6,0.621,0
Tony Parker,SAS,11/12,18.3,2.9,7.7,0.758,0
Kevin Love,MIN,11/12,26.0,13.3,2.0,0.394,0
Dwight Howard,ORL,11/12,20.6,14.5,1.9,0.561,0
Rajon Rondo,BOS,11/12,11.9,4.8,11.7,0.591,0
Steve Nash,PHO,11/12,12.5,3.0,10.7,0.5,0
Dwyane Wade,MIA,11/12,22.1,4.8,4.6,0.697,0
Derrick Rose,CHI,11/12,21.8,3.4,7.9,0.758,0
Dirk Nowitzki,DAL,11/12,21.6,6.7,2.2,0.545,0
Russell Westbrook,OKC,11/12,23.6,4.6,5.5,0.712,0
Tim Duncan,SAS,11/12,15.4,9.0,2.3,0.758,0
Joe Johnson,ATL,11/12,18.8,3.7,3.9,0.606,0
Player,TM,06/07,PTS,TRB,AST,,0
Dirk Nowitzki,DAL,06/07,24.6,8.9,3.4,0.817,1
Steve Nash,PHO,06/07,18.6,3.5,11.6,0.744,0
Kobe Bryant,LAL,06/07,31.6,5.7,5.4,0.512,0
Tim Duncan,SAS,06/07,20,10.6,3.4,0.707,0
LeBron James,CLE,06/07,27.3,6.7,6,0.61,0
Tracy McGrady,HOU,06/07,24.6,5.3,6.5,0.634,0
Chris Bosh,TOR,06/07,22.6,10.7,2.5,0.573,0
Gilbert Arenas,WAS,06/07,28.4,4.6,6,0.5,0
Carlos Boozer,UTA,06/07,20.9,11.7,3,0.622,0
Kevin Garnett,MIN,06/07,22.4,12.8,4.1,0.39,0
Chauncey Billups,DET,06/07,17,3.4,7.2,0.646,0
Shaquille O'Neal,MIA,06/07,17.3,7.4,2,0.537,0
Dwyane Wade,MIA,06/07,27.4,4.7,7.5,0.537,0
Amar'e Stoudemire,PHO,06/07,20.4,9.6,1,0.744,0
Carmelo Anthony,DEN,06/07,28.9,6,3.8,0.549,0
Baron Davis,GSW,06/07,20.1,4.4,8.1,0.512,0
Tony Parker,SAS,06/07,18.6,3.2,5.5,0.707,0
