Player,Team,PPG,RPG,APG,Season,MVP
Nikola Jokić,DEN,26.4,12.4,9,23/24,1
Shai Gilgeous-Alexander,OKC,30.1,5.5,6.2,23/24,0
Luka Dončić,DAL,33.9,9.2,9.8,23/24,0
Giannis Antetokounmpo,MIL,30.4,11.5,6.5,23/24,0
Jalen Brunson,NYK,28.7,3.6,6.7,23/24,0
Jayson Tatum,BOS,26.9,8.1,4.9,23/24,0
Anthony Edwards,MIN,25.9,5.4,5.1,23/24,0
Domantas Sabonis,SAC,19.4,13.7,8.2,23/24,0
Kevin Durant,PHO,27.1,6.6,5,23/24,0
Player,Tm,PTS,TRB,AST,18/19,0
Giannis Antetokounmpo,MIL,27.7,12.5,5.9,18/19,1
James Harden,HOU,36.1,6.6,7.5,18/19,0
Paul George,OKC,28,8.2,4.1,18/19,0
Nikola Jokić,DEN,20.1,10.8,7.3,18/19,0
Stephen Curry,GSW,27.3,5.3,5.2,18/19,0
Damian Lillard,POR,25.8,4.6,6.9,18/19,0
Joel Embiid,PHI,27.5,13.6,3.7,18/19,0
Kevin Durant,GSW,26,6.4,5.9,18/19,0
Kawhi Leonard,TOR,26.6,7.3,3.3,18/19,0
Russell Westbrook,OKC,22.9,11.1,10.7,18/19,0
Rudy Gobert,UTA,15.9,12.9,2,18/19,0
LeBron James,LAL,27.4,8.5,8.3,18/19,0
Player,Tm,PTS,TRB,AST,14/15,0
Stephen Curry,GSW,23.8,4.3,7.7,14/15,1
James Harden,HOU,27.4,5.7,7,14/15,0
LeBron James,CLE,25.3,6,7.4,14/15,0
Russell Westbrook,OKC,28.1,7.3,8.6,14/15,0
Anthony Davis,NOP,24.4,10.2,2.2,14/15,0
Chris Paul,LAC,19.1,4.6,10.2,14/15,0
LaMarcus Aldridge,POR,23.4,10.2,1.7,14/15,0
Marc Gasol,MEM,17.4,7.8,3.8,14/15,0
Blake Griffin,LAC,21.9,7.6,5.3,14/15,0
Tim Duncan,SAS,13.9,9.1,3,14/15,0
Kawhi Leonard,SAS,16.5,7.2,2.5,14/15,0
Klay Thompson,GSW,21.7,3.2,2.9,14/15,0
