Rk;Season;Team;W;G;W;L;W/L%
1;2019-20;MIL;56;73;56;17;0.767
2;2019-20;TOR;53;72;53;19;0.736
3;2019-20;LAL;52;71;52;19;0.732
4;2019-20;LAC;49;72;49;23;0.681
5;2019-20;BOS;48;72;48;24;0.667
6;2019-20;DEN;46;73;46;27;0.63
7;2019-20;IND;45;73;45;28;0.616
8;2019-20;UTA;44;72;44;28;0.611
9;2019-20;HOU;44;72;44;28;0.611
10;2019-20;OKC;44;72;44;28;0.611
11;2019-20;MIA;44;73;44;29;0.603
12;2019-20;PHI;43;73;43;30;0.589
13;2019-20;DAL;43;75;43;32;0.573
14;2019-20;BRK;35;72;35;37;0.486
15;2019-20;POR;35;74;35;39;0.473
16;2019-20;MEM;34;73;34;39;0.466
17;2019-20;PHO;34;73;34;39;0.466
18;2019-20;ORL;33;73;33;40;0.452
19;2019-20;SAS;32;71;32;39;0.451
20;2019-20;SAC;31;72;31;41;0.431
21;2019-20;NOP;30;72;30;42;0.417
22;2019-20;WAS;25;72;25;47;0.347
23;2019-20;CHO;23;65;23;42;0.354
24;2019-20;CHI;22;65;22;43;0.338
25;2019-20;NYK;21;66;21;45;0.318
26;2019-20;ATL;20;67;20;47;0.299
27;2019-20;DET;20;66;20;46;0.303
28;2019-20;MIN;19;64;19;45;0.297
29;2019-20;CLE;19;65;19;46;0.292
30;2019-20;GSW;15;65;15;50;0.231
