Player,Team,PPG,RPG,APG,WinPct,WS,ORtg,DRtg,PER,BPM,VORP
Shai Gilgeous-Alexander,OKC,32.7,5.0,6.4,0.829,16.7,129,107,30.7,11.5,8.9
Nikola Jokić,DEN,29.6,12.7,10.2,0.61,16.4,133,111,32.0,13.3,9.8
Ivica Zubac,LAC,16.8,12.6,2.7,0.61,11.7,129,108,22.3,3.1,3.4
Jarrett Allen,CLE,13.5,9.7,1.9,0.78,11.6,142,108,22.1,4.2,3.6
Giannis Antetokounmpo,MIL,30.4,11.9,6.5,0.585,11.5,122,109,30.5,9.5,6.6
Tyrese Haliburton,IND,18.6,3.5,9.2,0.61,10.4,131,115,21.8,5.8,4.9
Rudy Gobert,MIN,12.0,10.9,1.8,0.598,10.1,138,109,18.3,1.9,2.4
Karl-Anthony Towns,NYK,24.4,12.8,3.1,0.622,10.1,122,110,23.4,3.6,3.5
Domantas Sabonis,SAC,19.1,13.9,6.0,0.488,10.1,128,114,22.9,5.2,4.4
Jayson Tatum,BOS,26.8,8.7,6.0,0.744,9.5,117,110,21.7,5.2,4.8
Jalen Duren,DET,11.8,10.3,2.7,0.537,9.2,134,109,21.4,3.1,2.7
Josh Hart,NYK,13.6,9.6,5.9,0.622,9.2,125,112,16.5,2.8,3.6
Evan Mobley,CLE,18.5,9.3,3.2,0.78,9.0,124,108,22.3,4.6,3.6
Jimmy Butler,GSW,17.5,5.4,5.4,0.585,8.7,136,113,22.4,4.9,3.0
Payton Pritchard,BOS,14.3,3.8,3.5,0.744,8.6,131,114,17.6,3.5,3.2
Derrick White,BOS,16.4,4.5,4.8,0.744,8.5,123,112,16.6,3.5,3.6
Anthony Edwards,MIN,27.6,5.7,4.5,0.598,8.4,115,112,20.1,4.3,4.6
James Harden,LAC,22.8,5.8,8.7,0.61,8.3,114,110,20.0,4.3,4.4
Alperen Şengün,HOU,19.1,10.3,4.9,0.634,8.3,116,108,21.4,4.4,3.9
Jalen Brunson,NYK,26.0,2.9,7.3,0.622,8.3,123,118,21.6,3.3,3.1
Darius Garland,CLE,20.6,2.9,6.7,0.78,8.1,121,115,19.9,3.1,3.0
Christian Braun,DEN,15.4,5.2,2.6,0.61,8.0,133,118,16.0,0.3,1.6
Amen Thompson,HOU,14.1,8.2,3.8,0.634,8.0,123,108,18.7,4.1,3.4
Stephen Curry,GSW,24.5,4.4,6.0,0.585,7.9,120,113,21.5,6.3,4.8
Jalen Williams,OKC,21.6,5.3,5.1,0.829,7.8,116,107,20.3,4.0,3.4
LeBron James,LAL,24.4,7.8,8.2,0.61,7.7,117,114,22.7,5.6,4.7
Austin Reaves,LAL,20.2,4.5,5.8,0.61,7.6,122,117,18.1,1.9,2.6
Damian Lillard,MIL,24.9,4.7,7.1,0.585,7.6,122,115,21.3,4.0,3.2
Donovan Mitchell,CLE,24.0,4.5,5.0,0.78,7.6,118,113,20.9,3.7,3.2
Pascal Siakam,IND,20.2,6.9,3.4,0.61,7.5,120,115,19.2,1.7,2.4
Bam Adebayo,MIA,18.1,9.6,4.3,0.451,7.5,115,110,18.9,2.0,2.7
Tyler Herro,MIA,23.9,5.2,5.5,0.451,7.4,117,115,19.7,3.1,3.5
Nikola Vučević,CHI,18.5,10.1,3.5,0.476,7.3,122,113,20.3,2.6,2.7
Onyeka Okongwu,ATL,13.4,8.9,2.3,0.488,7.2,129,114,19.0,1.3,1.7
DeMar DeRozan,SAC,22.2,3.9,4.4,0.488,7.1,120,119,17.7,-0.1,1.3
Luke Kornet,BOS,6.0,5.3,1.6,0.744,7.0,152,110,19.6,3.3,1.8
Isaiah Hartenstein,OKC,11.2,10.7,3.8,0.829,6.8,124,104,18.9,3.2,2.1
Anthony Davis,DAL,24.7,11.6,3.5,0.476,6.7,118,108,26.3,5.4,3.2
Brook Lopez,MIL,13.0,5.0,1.8,0.585,6.6,122,114,14.8,0.8,1.8
Desmond Bane,MEM,19.2,6.1,5.3,0.585,6.5,119,113,17.9,3.2,2.9
OG Anunoby,NYK,18.0,4.8,2.2,0.622,6.5,118,114,15.4,0.7,1.9
Devin Booker,PHO,25.6,4.1,7.1,0.439,6.4,119,123,19.3,0.4,1.7
Jaren Jackson Jr.,MEM,22.2,5.6,2.0,0.585,6.4,115,111,19.6,2.3,2.4
Michael Porter Jr.,DEN,18.2,7.0,2.1,0.61,6.4,122,118,16.2,-0.1,1.2
Jaden McDaniels,MIN,12.2,5.7,2.0,0.598,6.3,115,110,13.3,0.0,1.4
Julius Randle,MIN,18.7,7.1,4.7,0.598,6.2,117,113,17.5,1.3,1.8
Jamal Murray,DEN,21.4,3.9,6.0,0.61,6.2,120,118,17.8,0.8,1.7
Daniel Gafford,DAL,12.3,6.8,1.4,0.476,5.9,137,113,24.7,3.8,1.8
Ty Jerome,CLE,12.5,2.5,3.4,0.78,5.9,128,113,21.0,4.3,2.2
Luka Dončić,DAL,28.2,8.2,7.7,0.476,5.9,116,112,24.1,6.7,3.9
Cade Cunningham,DET,26.1,6.1,9.1,0.537,5.9,112,113,20.6,3.9,3.7
Goga Bitadze,ORL,7.2,6.6,2.0,0.5,5.8,127,105,19.2,2.5,1.6
Chris Paul,SAS,8.8,3.6,7.4,0.415,5.7,125,118,14.7,0.8,1.6
Naz Reid,MIN,14.2,6.0,2.3,0.598,5.7,115,110,15.8,1.6,2.0
Trae Young,ATL,24.2,3.1,11.6,0.488,5.7,114,119,18.3,0.5,1.7
Mikal Bridges,NYK,17.6,3.2,3.7,0.622,5.7,117,118,14.0,-0.5,1.2
Franz Wagner,ORL,24.2,5.7,4.7,0.5,5.6,113,110,20.1,3.1,2.6
Deni Avdija,POR,16.9,7.3,3.9,0.439,5.6,116,113,17.7,2.1,2.2
Luguentz Dort,OKC,10.1,4.1,1.6,0.829,5.6,120,110,11.3,0.2,1.2
Harrison Barnes,SAS,12.3,3.8,1.7,0.415,5.6,132,122,14.9,0.0,1.2
Jakob Poeltl,TOR,14.5,9.6,2.8,0.366,5.5,122,110,20.0,2.0,1.7
Walker Kessler,UTA,11.1,12.2,1.7,0.207,5.4,130,115,20.0,1.8,1.7
Aaron Wiggins,OKC,12.0,3.9,1.8,0.829,5.4,119,110,16.1,1.1,1.4
Kristaps Porziņģis,BOS,19.5,6.8,2.1,0.744,5.3,125,109,22.3,4.7,2.1
Josh Giddey,CHI,14.6,8.1,7.2,0.476,5.3,115,113,18.1,3.0,2.7
Norman Powell,LAC,21.8,3.2,2.1,0.61,5.3,116,113,17.5,1.5,1.8
Fred VanVleet,HOU,14.1,3.7,5.6,0.634,5.2,117,112,12.8,0.9,1.5
Kevin Durant,PHO,26.6,6.0,4.2,0.439,5.2,117,119,21.2,3.2,3.0
Cason Wallace,OKC,8.4,3.4,2.5,0.829,5.2,118,108,12.3,1.0,1.5
Jaylen Brown,BOS,22.2,5.8,4.5,0.744,5.2,112,112,17.8,0.0,1.1
Mike Conley,MIN,8.2,2.6,4.5,0.598,5.2,125,113,13.3,1.2,1.4
Tobias Harris,DET,13.7,5.9,2.2,0.537,5.2,116,113,13.9,0.1,1.2
Toumani Camara,POR,11.3,5.8,2.2,0.439,5.2,117,115,12.5,-0.1,1.2
Jalen Green,HOU,21.0,4.6,3.4,0.634,5.1,110,113,15.1,0.5,1.7
Cameron Johnson,BRK,18.8,4.3,3.4,0.317,5.1,122,117,18.2,3.1,2.3
Dillon Brooks,HOU,14.0,3.7,1.7,0.634,5.1,117,114,11.0,-1.4,0.4
Jrue Holiday,BOS,11.1,4.3,3.9,0.744,5.1,121,113,13.5,0.7,1.3
Isaiah Joe,OKC,10.2,2.6,1.6,0.829,5.1,125,112,14.0,1.3,1.4
Zach LaVine,CHI,23.3,4.3,4.2,0.476,5.1,116,119,17.3,0.7,1.8
Tari Eason,HOU,12.0,6.4,1.5,0.634,5.0,119,106,18.5,3.6,2.0
Santi Aldama,MEM,12.5,6.4,2.9,0.585,5.0,123,113,16.8,3.2,2.2
Dyson Daniels,ATL,14.1,5.9,4.4,0.488,5.0,110,111,15.6,1.5,2.3
Keon Ellis,SAC,8.3,2.7,1.5,0.488,5.0,125,114,13.5,1.9,1.9
Zach Edey,MEM,9.2,8.3,1.0,0.585,4.9,124,110,18.2,-0.1,0.7
Mark Williams,CHO,15.3,10.2,2.5,0.232,4.7,127,111,23.9,3.5,1.6
Malik Beasley,DET,16.3,2.6,1.7,0.537,4.7,116,117,14.4,0.8,1.6
Myles Turner,IND,15.6,6.5,1.5,0.61,4.7,113,112,16.1,0.4,1.3
Derrick Jones Jr.,LAC,10.1,3.4,0.8,0.61,4.7,118,112,13.5,-0.3,0.8
Scotty Pippen Jr.,MEM,9.9,3.3,4.4,0.585,4.7,118,112,15.8,1.9,1.7
Kyrie Irving,DAL,24.7,4.8,4.6,0.476,4.6,118,118,19.9,3.4,2.5
Wendell Carter Jr.,ORL,9.1,7.2,2.0,0.5,4.6,115,109,13.7,-1.2,0.3
Kentavious Caldwell-Pope,ORL,8.7,2.2,1.8,0.5,4.6,115,112,9.9,-1.4,0.3
Coby White,CHI,20.4,3.7,4.5,0.476,4.5,114,118,15.5,-0.9,0.7
Al Horford,BOS,9.0,6.2,2.1,0.744,4.4,121,111,12.9,1.2,1.3
De'Andre Hunter,ATL,17.0,4.0,1.4,0.488,4.4,120,117,15.9,0.4,1.0
Keegan Murray,SAC,12.4,6.7,1.4,0.488,4.4,116,117,12.0,-1.6,0.2
Brandon Clarke,MEM,8.3,5.1,1.0,0.585,4.4,131,112,17.6,0.8,0.9
Sam Hauser,BOS,8.5,3.2,0.9,0.744,4.4,128,113,12.8,0.8,1.1
Tyus Jones,PHO,10.2,2.4,5.3,0.439,4.4,124,122,14.5,0.1,1.1
