Player,WS,ORtg,DRtg,BPM,VORP,PER
Shai Gilgeous-Alexander,16.7,129,107,11.5,8.9,30.7
Nikola Jokić,16.4,133,111,13.3,9.8,32.0
Ivica Zubac,11.7,129,108,3.1,3.4,22.3
Jarrett Allen,11.6,142,108,4.2,3.6,22.1
Giannis Antetokounmpo,11.5,122,109,9.5,6.6,30.5
Tyrese Haliburton,10.4,131,115,5.8,4.9,21.8
Rudy Gobert,10.1,138,109,1.9,2.4,18.3
Karl-Anthony Towns,10.1,122,110,3.6,3.5,23.4
Domantas Sabonis,10.1,128,114,5.2,4.4,22.9
Jayson Tatum,9.5,117,110,5.2,4.8,21.7
Jalen Duren,9.2,134,109,3.1,2.7,21.4
Josh Hart,9.2,125,112,2.8,3.6,16.5
Evan Mobley,9.0,124,108,4.6,3.6,22.3
Jimmy Butler,8.7,136,113,4.9,3.0,22.4
Payton Pritchard,8.6,131,114,3.5,3.2,17.6
Derrick White,8.5,123,112,3.5,3.6,16.6
Anthony Edwards,8.4,115,112,4.3,4.6,20.1
James Harden,8.3,114,110,4.3,4.4,20.0
Alperen Şengün,8.3,116,108,4.4,3.9,21.4
Jalen Brunson,8.3,123,118,3.3,3.1,21.6
Darius Garland,8.1,121,115,3.1,3.0,19.9
Christian Braun,8.0,133,118,0.3,1.6,16.0
Amen Thompson,8.0,123,108,4.1,3.4,18.7
Stephen Curry,7.9,120,113,6.3,4.8,21.5
Jalen Williams,7.8,116,107,4.0,3.4,20.3
LeBron James,7.7,117,114,5.6,4.7,22.7
Austin Reaves,7.6,122,117,1.9,2.6,18.1
Damian Lillard,7.6,122,115,4.0,3.2,21.3
Donovan Mitchell,7.6,118,113,3.7,3.2,20.9
Pascal Siakam,7.5,120,115,1.7,2.4,19.2
Bam Adebayo,7.5,115,110,2.0,2.7,18.9
Tyler Herro,7.4,117,115,3.1,3.5,19.7
Nikola Vučević,7.3,122,113,2.6,2.7,20.3
Onyeka Okongwu,7.2,129,114,1.3,1.7,19.0
DeMar DeRozan,7.1,120,119,-0.1,1.3,17.7
Luke Kornet,7.0,152,110,3.3,1.8,19.6
Isaiah Hartenstein,6.8,124,104,3.2,2.1,18.9
Anthony Davis,6.7,118,108,5.4,3.2,26.3
Brook Lopez,6.6,122,114,0.8,1.8,14.8
Desmond Bane,6.5,119,113,3.2,2.9,17.9
OG Anunoby,6.5,118,114,0.7,1.9,15.4
Devin Booker,6.4,119,123,0.4,1.7,19.3
Jaren Jackson Jr.,6.4,115,111,2.3,2.4,19.6
Michael Porter Jr.,6.4,122,118,-0.1,1.2,16.2
Jaden McDaniels,6.3,115,110,0.0,1.4,13.3
Julius Randle,6.2,117,113,1.3,1.8,17.5
Jamal Murray,6.2,120,118,0.8,1.7,17.8
Daniel Gafford,5.9,137,113,3.8,1.8,24.7
Ty Jerome,5.9,128,113,4.3,2.2,21.0
Luka Dončić,5.9,116,112,6.7,3.9,24.1
Cade Cunningham,5.9,112,113,3.9,3.7,20.6
Goga Bitadze,5.8,127,105,2.5,1.6,19.2
Chris Paul,5.7,125,118,0.8,1.6,14.7
Naz Reid,5.7,115,110,1.6,2.0,15.8
Trae Young,5.7,114,119,0.5,1.7,18.3
Mikal Bridges,5.7,117,118,-0.5,1.2,14.0
Franz Wagner,5.6,113,110,3.1,2.6,20.1
Deni Avdija,5.6,116,113,2.1,2.2,17.7
Luguentz Dort,5.6,120,110,0.2,1.2,11.3
Harrison Barnes,5.6,132,122,0.0,1.2,14.9
Jakob Poeltl,5.5,122,110,2.0,1.7,20.0
Walker Kessler,5.4,130,115,1.8,1.7,20.0
Aaron Wiggins,5.4,119,110,1.1,1.4,16.1
Kristaps Porziņģis,5.3,125,109,4.7,2.1,22.3
Josh Giddey,5.3,115,113,3.0,2.7,18.1
Norman Powell,5.3,116,113,1.5,1.8,17.5
Fred VanVleet,5.2,117,112,0.9,1.5,12.8
Kevin Durant,5.2,117,119,3.2,3.0,21.2
Cason Wallace,5.2,118,108,1.0,1.5,12.3
Jaylen Brown,5.2,112,112,0.0,1.1,17.8
Mike Conley,5.2,125,113,1.2,1.4,13.3
Tobias Harris,5.2,116,113,0.1,1.2,13.9
Toumani Camara,5.2,117,115,-0.1,1.2,12.5
Jalen Green,5.1,110,113,0.5,1.7,15.1
Cameron Johnson,5.1,122,117,3.1,2.3,18.2
Dillon Brooks,5.1,117,114,-1.4,0.4,11.0
Jrue Holiday,5.1,121,113,0.7,1.3,13.5
Isaiah Joe,5.1,125,112,1.3,1.4,14.0
Zach LaVine,5.1,116,119,0.7,1.8,17.3
Tari Eason,5.0,119,106,3.6,2.0,18.5
Santi Aldama,5.0,123,113,3.2,2.2,16.8
Dyson Daniels,5.0,110,111,1.5,2.3,15.6
Keon Ellis,5.0,125,114,1.9,1.9,13.5
Zach Edey,4.9,124,110,-0.1,0.7,18.2
Mark Williams,4.7,127,111,3.5,1.6,23.9
Malik Beasley,4.7,116,117,0.8,1.6,14.4
Myles Turner,4.7,113,112,0.4,1.3,16.1
Derrick Jones Jr.,4.7,118,112,-0.3,0.8,13.5
Scotty Pippen Jr.,4.7,118,112,1.9,1.7,15.8
Kyrie Irving,4.6,118,118,3.4,2.5,19.9
Wendell Carter Jr.,4.6,115,109,-1.2,0.3,13.7
Kentavious Caldwell-Pope,4.6,115,112,-1.4,0.3,9.9
Coby White,4.5,114,118,-0.9,0.7,15.5
Al Horford,4.4,121,111,1.2,1.3,12.9
De'Andre Hunter,4.4,120,117,0.4,1.0,15.9
Keegan Murray,4.4,116,117,-1.6,0.2,12.0
Brandon Clarke,4.4,131,112,0.8,0.9,17.6
Sam Hauser,4.4,128,113,0.8,1.1,12.8
Tyus Jones,4.4,124,122,0.1,1.1,14.5
Jonas Valančiūnas,4.3,118,114,0.6,1.0,20.8
De'Aaron Fox,4.3,113,117,0.4,1.3,18.3
Obi Toppin,4.3,122,114,1.7,1.4,17.4
Kevon Looney,4.3,128,108,0.3,0.7,17.0
Aaron Gordon,4.3,129,120,1.2,1.2,17.0
Isaiah Stewart,4.3,125,110,0.6,0.9,14.6
Nic Claxton,4.3,115,112,0.4,1.1,16.5
Rui Hachimura,4.3,123,117,-0.7,0.6,13.6
Nickeil Alexander-Walker,4.3,116,114,-0.4,0.8,11.6
Brandin Podziemski,4.2,116,112,0.7,1.2,14.4
Jabari Smith Jr.,4.2,118,112,-0.7,0.6,12.6
Anfernee Simons,4.2,115,119,-0.1,1.1,14.9
Kel'el Ware,4.1,118,108,-0.1,0.7,17.4
Amir Coffey,4.0,122,115,-1.7,0.1,11.2
Kris Dunn,4.0,111,108,0.6,1.2,11.3
Andrew Wiggins,4.0,113,113,0.9,1.4,16.4
Donovan Clingan,4.0,120,109,-0.3,0.6,17.4
Caris LeVert,4.0,119,115,0.9,1.2,15.2
Guerschon Yabusele,3.9,122,119,-1.0,0.5,14.7
Alex Caruso,3.9,122,104,4.0,1.6,15.9
Luke Kennard,3.9,127,116,1.1,1.2,13.6
Donte DiVincenzo,3.9,115,111,1.9,1.6,14.1
Ausar Thompson,3.8,115,108,1.7,1.2,17.2
Tyrese Maxey,3.8,114,119,2.0,2.0,19.5
Victor Wembanyama,3.8,109,108,6.5,3.3,24.2
Mason Plumlee,3.7,131,115,-0.6,0.5,14.8
Jaxson Hayes,3.7,135,112,-0.3,0.5,15.8
Spencer Dinwiddie,3.7,116,119,-1.6,0.2,13.0
Draymond Green,3.7,107,109,0.5,1.3,12.4
Yves Missi,3.6,120,119,-3.0,-0.5,15.4
Kenrich Williams,3.6,122,109,0.6,0.7,13.7
Ja Morant,3.5,113,115,2.4,1.7,19.3
Nicolas Batum,3.5,126,111,0.8,1.0,10.3
Jaylen Wells,3.5,117,118,-2.2,-0.1,10.5
Paolo Banchero,3.5,109,110,3.5,2.2,20.0
Moses Moody,3.5,116,114,-0.9,0.5,12.4
Trey Murphy III,3.5,118,121,0.8,1.3,17.3
Taurean Prince,3.5,114,115,-1.7,0.1,9.8
Scottie Barnes,3.5,107,112,2.4,2.3,17.8
Naji Marshall,3.5,115,117,-0.8,0.6,15.1
Tim Hardaway Jr.,3.5,117,118,-2.1,0.0,9.8
Kawhi Leonard,3.5,114,109,3.1,1.5,20.5
Dereck Lively II,3.4,138,113,3.3,1.1,20.1
Max Strus,3.4,125,115,1.3,1.1,12.6
Quentin Grimes,3.4,113,118,0.4,1.2,15.9
Trayce Jackson-Davis,3.4,125,111,1.2,0.8,18.5
Jonathan Isaac,3.4,113,103,0.7,0.7,16.6
Haywood Highsmith,3.3,116,114,-1.9,0.1,9.9
Sam Merrill,3.3,122,114,0.3,0.8,11.1
Gary Trent Jr.,3.3,115,116,-1.6,0.2,11.7
Jaylin Williams,3.3,127,104,4.3,1.2,16.4
Moussa Diabaté,3.2,122,113,-1.9,0.0,16.5
Miles McBride,3.2,117,116,0.0,0.8,12.6
Clint Capela,3.2,120,113,-1.0,0.3,17.7
Dennis Schröder,3.2,111,117,-2.2,-0.1,12.7
Neemias Queta,3.2,132,110,-0.7,0.3,16.3
T.J. McConnell,3.2,113,113,1.2,1.2,18.4
Keldon Johnson,3.2,115,119,-1.6,0.2,15.6
Miles Bridges,3.2,110,116,1.8,2.0,17.7
Chet Holmgren,3.2,116,103,2.4,1.0,19.2
Ochai Agbaji,3.1,117,116,-0.7,0.5,12.0
Thomas Bryant,3.1,125,113,0.6,0.6,17.2
Bennedict Mathurin,3.0,110,116,-2.9,-0.5,13.6
Gary Payton II,3.0,124,110,1.4,0.8,16.2
Shaedon Sharpe,3.0,110,117,-1.3,0.4,14.5
Terance Mann,3.0,120,116,-1.3,0.2,12.0
Nick Richards,3.0,120,115,-3.3,-0.4,16.6
Dean Wade,3.0,123,112,0.3,0.7,10.1
Davion Mitchell,3.0,113,117,-2.6,-0.3,10.2
Dorian Finney-Smith,2.9,118,117,-1.0,0.5,10.1
Aaron Nesmith,2.9,124,116,-0.5,0.4,14.6
Jalen Smith,2.9,120,112,0.9,0.7,18.7
Jake LaRavia,2.9,117,114,0.2,0.8,12.6
Tre Jones,2.9,134,118,1.5,0.8,16.3
Georges Niang,2.9,115,117,-2.3,-0.1,11.2
A.J. Green,2.8,119,117,-2.2,-0.1,9.2
Deandre Ayton,2.8,115,112,-0.7,0.4,17.7
Kyle Anderson,2.8,119,111,1.5,0.9,15.1
Buddy Hield,2.8,108,113,-1.0,0.5,12.3
Justin Champagnie,2.8,119,116,-0.5,0.5,15.7
Malik Monk,2.8,110,117,-0.8,0.6,15.0
Andrew Nembhard,2.8,111,116,-2.3,-0.1,11.7
Royce O'Neale,2.8,115,118,0.1,1.0,12.6
Bobby Portis,2.7,111,110,0.2,0.7,17.7
Jeremy Sochan,2.7,116,117,-1.2,0.3,15.9
Dalton Knecht,2.7,117,118,-1.8,0.1,12.7
Zach Collins,2.7,122,115,0.0,0.5,16.0
Day'Ron Sharpe,2.7,117,111,0.9,0.7,19.7
Chris Boucher,2.7,123,114,2.3,0.9,18.7
Duncan Robinson,2.7,112,117,-1.7,0.1,11.8
Max Christie,2.7,111,117,-2.5,-0.3,10.4
Kelly Oubre Jr.,2.6,111,118,-2.3,-0.1,13.5
Vit Krejci,2.6,127,117,0.7,0.8,12.7
Trey Lyles,2.6,117,116,-0.7,0.4,12.3
Grayson Allen,2.5,119,120,-0.3,0.7,13.7
Ayo Dosunmu,2.5,117,118,-1.6,0.1,12.8
Isaac Okoro,2.5,125,115,-0.5,0.4,10.7
Jay Huff,2.5,126,112,3.5,1.1,18.2
Zion Williamson,2.5,117,118,7.0,1.9,27.3
Peyton Watson,2.5,113,116,-1.8,0.1,11.4
Nikola Jović,2.5,115,114,0.3,0.7,13.8
