Player,Team,PPG,APG,WS,Season,RPG
Shai Gilgeous-Alexander,OKC,32.7,6.4,16.7,2024-25,5.0
Nikola Jokić,DEN,29.6,10.2,16.4,2024-25,12.7
Ivica Zubac,LAC,16.8,2.7,11.7,2024-25,12.6
Jarrett Allen,CLE,13.5,1.9,11.6,2024-25,9.7
Giannis Antetokounmpo,MIL,30.4,6.5,11.5,2024-25,11.9
Tyrese Haliburton,IND,18.6,9.2,10.4,2024-25,3.5
Rudy Gobert,MIN,12.0,1.8,10.1,2024-25,10.9
Karl-Anthony Towns,NYK,24.4,3.1,10.1,2024-25,12.8
Domantas Sabonis,SAC,19.1,6.0,10.1,2024-25,13.9
Jayson Tatum,BOS,26.8,6.0,9.5,2024-25,8.7
Jalen Duren,DET,11.8,2.7,9.2,2024-25,10.3
Josh Hart,NYK,13.6,5.9,9.2,2024-25,9.6
Evan Mobley,CLE,18.5,3.2,9.0,2024-25,9.3
Jimmy Butler,GSW,17.5,5.4,8.7,2024-25,5.4
Payton Pritchard,BOS,14.3,3.5,8.6,2024-25,3.8
Derrick White,BOS,16.4,4.8,8.5,2024-25,4.5
Anthony Edwards,MIN,27.6,4.5,8.4,2024-25,5.7
James Harden,LAC,22.8,8.7,8.3,2024-25,5.8
Alperen Şengün,HOU,19.1,4.9,8.3,2024-25,10.3
Jalen Brunson,NYK,26.0,7.3,8.3,2024-25,2.9
Darius Garland,CLE,20.6,6.7,8.1,2024-25,2.9
Christian Braun,DEN,15.4,2.6,8.0,2024-25,5.2
Amen Thompson,HOU,14.1,3.8,8.0,2024-25,8.2
Stephen Curry,GSW,24.5,6.0,7.9,2024-25,4.4
Jalen Williams,OKC,21.6,5.1,7.8,2024-25,5.3
LeBron James,LAL,24.4,8.2,7.7,2024-25,7.8
Austin Reaves,LAL,20.2,5.8,7.6,2024-25,4.5
Damian Lillard,MIL,24.9,7.1,7.6,2024-25,4.7
Donovan Mitchell,CLE,24.0,5.0,7.6,2024-25,4.5
Pascal Siakam,IND,20.2,3.4,7.5,2024-25,6.9
Bam Adebayo,MIA,18.1,4.3,7.5,2024-25,9.6
Tyler Herro,MIA,23.9,5.5,7.4,2024-25,5.2
Nikola Vučević,CHI,18.5,3.5,7.3,2024-25,10.1
Onyeka Okongwu,ATL,13.4,2.3,7.2,2024-25,8.9
DeMar DeRozan,SAC,22.2,4.4,7.1,2024-25,3.9
Luke Kornet,BOS,6.0,1.6,7.0,2024-25,5.3
Isaiah Hartenstein,OKC,11.2,3.8,6.8,2024-25,10.7
Anthony Davis,DAL,24.7,3.5,6.7,2024-25,11.6
Brook Lopez,MIL,13.0,1.8,6.6,2024-25,5.0
Desmond Bane,MEM,19.2,5.3,6.5,2024-25,6.1
OG Anunoby,NYK,18.0,2.2,6.5,2024-25,4.8
Devin Booker,PHO,25.6,7.1,6.4,2024-25,4.1
Jaren Jackson Jr.,MEM,22.2,2.0,6.4,2024-25,5.6
Michael Porter Jr.,DEN,18.2,2.1,6.4,2024-25,7.0
Jaden McDaniels,MIN,12.2,2.0,6.3,2024-25,5.7
Julius Randle,MIN,18.7,4.7,6.2,2024-25,7.1
Jamal Murray,DEN,21.4,6.0,6.2,2024-25,3.9
Daniel Gafford,DAL,12.3,1.4,5.9,2024-25,6.8
